Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.14607692307692305,0.14607692307692305,0.06995517935332443,0.06995517935332443,2.27556187117972
1.0,0.15561538461538463,0.15561538461538463,0.0880462112660532,0.08804621126605323,2.208125116766953
2.0,0.19376923076923078,0.19376923076923078,0.13729608221473394,0.13729608221473394,2.117871747365812
3.0,0.21146153846153845,0.21146153846153845,0.15314380297546823,0.15314380297546823,2.036803054228062
4.0,0.24692307692307694,0.24692307692307694,0.19558881072207618,0.19558881072207618,1.973689083936738
5.0,0.27838461538461534,0.27838461538461534,0.2298544218772088,0.2298544218772088,1.9018896062199662
6.0,0.2764615384615385,0.2764615384615385,0.22764111648519006,0.22764111648519006,1.8719005003208067
7.0,0.3070769230769231,0.3070769230769231,0.27213735004836487,0.27213735004836487,1.8228018859537638
8.0,0.3081538461538461,0.3081538461538461,0.27267093206848203,0.27267093206848203,1.7956720131199535
9.0,0.33069230769230773,0.33069230769230773,0.306848946617223,0.30684894661722306,1.7735836273286403
10.0,0.319,0.319,0.27750669461446437,0.27750669461446437,1.7840127689082448
11.0,0.3415384615384615,0.3415384615384615,0.3204538636502064,0.32045386365020634,1.7440726448849933
12.0,0.35515384615384615,0.35515384615384615,0.33232301379693996,0.33232301379694,1.7102970193072065
13.0,0.35846153846153844,0.35846153846153844,0.3407758690590926,0.3407758690590926,1.7023957368804186
14.0,0.3618461538461538,0.3618461538461538,0.3431249083564214,0.3431249083564214,1.6976476762352921
15.0,0.3653076923076923,0.3653076923076923,0.34717958801971077,0.34717958801971077,1.6836782490334863
16.0,0.3760769230769231,0.3760769230769231,0.35411997739162715,0.35411997739162715,1.6644667282337096
17.0,0.378,0.378,0.35014230762751053,0.35014230762751053,1.6630537887898886
18.0,0.3826153846153846,0.3826153846153846,0.36262522364836186,0.36262522364836186,1.6490400738832427
19.0,0.3896923076923077,0.38969230769230767,0.37577495814789214,0.37577495814789214,1.6444271256284015
20.0,0.39223076923076927,0.39223076923076927,0.37440158902614507,0.37440158902614507,1.6205019572886024
21.0,0.3843846153846154,0.38438461538461544,0.37098044757532567,0.37098044757532567,1.6360767207494598
22.0,0.3953846153846154,0.39538461538461533,0.3848819972983337,0.3848819972983337,1.615755774916672
23.0,0.4008461538461539,0.4008461538461539,0.38663831854966296,0.38663831854966296,1.6098091852374192
24.0,0.401076923076923,0.4010769230769231,0.38939665185709793,0.389396651857098,1.6094973511812163
25.0,0.40446153846153843,0.40446153846153843,0.3873999478763868,0.3873999478763869,1.5999962760180961
26.0,0.406923076923077,0.406923076923077,0.3922272908192513,0.3922272908192513,1.590338326081997
27.0,0.4046153846153846,0.4046153846153846,0.3926442154661636,0.3926442154661637,1.5928425091068918
28.0,0.41015384615384615,0.41015384615384615,0.39596552301812793,0.39596552301812793,1.5929225979781731
29.0,0.40753846153846157,0.4075384615384615,0.4032180659109758,0.4032180659109758,1.5899739201475935
30.0,0.40476923076923077,0.40476923076923077,0.3867425391546879,0.386742539154688,1.6022650096474624
31.0,0.4046153846153846,0.4046153846153846,0.3918559401964244,0.39185594019642433,1.5918472313299412
