epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),loss,validation loss
0.0,0.25977142857142854,0.26035273695343825,0.2854110424472091,0.2866554147683925,0.27047284806068117,0.25977642528510236,0.27047284806068117,0.26530143998136924,0.1838407737347705,0.1886818757831943,2.0898343131966786,2.092926148122007
1.0,0.5856428571428572,0.5890922387133531,0.6194263521771061,0.6233732251382859,0.5900000343717701,0.585649304743274,0.5900000343717701,0.5895450681847537,0.5785946264070723,0.5830848310281299,1.2783963137021348,1.2941214992241428
2.0,0.6633714285714285,0.6655806786258572,0.688825728910118,0.6910416503213954,0.6675557876249831,0.6633738573481398,0.6675557876249831,0.6665656103254995,0.6612879320741163,0.6647190851577521,1.0207766914476541,1.0411897441202944
3.0,0.7041142857142858,0.7046248090160858,0.7174958283454463,0.7180231276050351,0.7092070719272632,0.7041195055218308,0.7092070719272632,0.7069055873000989,0.7011749407685388,0.7042313743949604,0.904077724697383,0.9226219308647243
4.0,0.7249000000000001,0.7255012981247406,0.732656959579925,0.7331734101778385,0.7297666191708873,0.72490149209401,0.7297666191708873,0.7276270991060356,0.7203959823934524,0.7232842305328708,0.8392545040611807,0.8554292532530698
5.0,0.7382285714285713,0.7392373577738769,0.7476479601478442,0.7486087820599191,0.7425427141971372,0.7382245086667508,0.7425427141971372,0.7408856606746623,0.7355763801809256,0.7384203281717827,0.8050387522945666,0.8220240929587321
6.0,0.7519285714285714,0.7531824802390505,0.7594849690905809,0.7605888455209573,0.7559988153086546,0.7519269983104674,0.7559988153086546,0.7545858488964257,0.7487791231602209,0.7515958414235097,0.7632328550565188,0.7810063287615776
7.0,0.7589571428571429,0.7605522999979556,0.7685388543314116,0.7700590589086909,0.7624615650914934,0.7589551959738474,0.7624615650914934,0.7615031061469114,0.7554451211339273,0.7580519164449749,0.7414003668310436,0.7567327951165763
8.0,0.7731714285714286,0.7745809123182263,0.7796398809585142,0.78102456552258,0.7765797856709562,0.7731696975992799,0.7765797856709562,0.7755764993437335,0.7724174199879833,0.7748314517051587,0.7006401737258858,0.7159767865457318
9.0,0.7732714285714286,0.7753913227840432,0.781422720099479,0.7834301678823244,0.7761089425452079,0.773274423101346,0.7761089425452079,0.7757479940391551,0.771185263837969,0.7736586628093961,0.6944431632348935,0.7110017600384625
10.0,0.7856285714285715,0.7865937063397774,0.7944579509596973,0.7951967482954694,0.7894735767039434,0.7856267060378738,0.7894735767039434,0.7880305016824931,0.7840719160779533,0.7865293836815558,0.6578431951128729,0.6729093378240412
11.0,0.7905,0.7935152128100712,0.800759554629346,0.8034600596307466,0.7927690797022311,0.7905007411105723,0.7927690797022311,0.7931401090396688,0.7905467220917304,0.7931997746893231,0.647364376124726,0.661987908387726
12.0,0.7962714285714285,0.7983784395170802,0.8048795394869239,0.8069522757853355,0.7990569591676253,0.7962707576234133,0.7990569591676253,0.7987171156618518,0.7955409826588729,0.7980239845299386,0.6295579289736813,0.6460808113217353
