epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),loss,validation loss
0.0,0.0996153846153846,0.0996153846153846,0.04379399708141184,0.04379399708141184,0.0996153846153846,0.0996153846153846,0.0996153846153846,0.09961538461538463,0.01949370531343691,0.01949370531343691,2.359313130960232,2.356727347654455
1.0,0.11184615384615386,0.11184615384615386,0.040020368789562735,0.04002036878956273,0.11184615384615386,0.11184615384615386,0.11184615384615386,0.11184615384615386,0.03617011751227829,0.03617011751227829,2.3147507446568185,2.316464477426866
2.0,0.11292307692307693,0.11292307692307693,0.07016517244783706,0.07016517244783706,0.11292307692307693,0.11292307692307693,0.11292307692307693,0.11292307692307695,0.03558389931936234,0.03558389931936234,2.2884750412731636,2.28810536440681
3.0,0.14061538461538461,0.14061538461538461,0.07467694869942362,0.07467694869942362,0.14061538461538461,0.14061538461538461,0.14061538461538461,0.14061538461538464,0.06577492182300182,0.0657749218230018,2.2445066114751304,2.2526734520407286
4.0,0.18461538461538463,0.18461538461538463,0.16743208477059146,0.16743208477059143,0.18461538461538463,0.18461538461538463,0.18461538461538463,0.18461538461538463,0.11124253717232961,0.11124253717232964,2.1829519998736497,2.186567659939036
5.0,0.1996153846153846,0.1996153846153846,0.17413220820948755,0.17413220820948755,0.1996153846153846,0.1996153846153846,0.1996153846153846,0.1996153846153846,0.14304608446139405,0.14304608446139405,2.0976392315655223,2.1023881014655617
6.0,0.24061538461538462,0.24061538461538462,0.23689480175607044,0.23689480175607044,0.24061538461538462,0.24061538461538462,0.24061538461538462,0.24061538461538462,0.19463722492865268,0.19463722492865268,2.0371932134395694,2.0441877968171065
7.0,0.2549230769230769,0.2549230769230769,0.2789631370233196,0.27896313702331965,0.2549230769230769,0.2549230769230769,0.2549230769230769,0.2549230769230769,0.21407111808822005,0.21407111808822005,1.9878236514766041,1.9881118325626148
8.0,0.27015384615384613,0.27015384615384613,0.29109625066610934,0.29109625066610934,0.27015384615384613,0.27015384615384613,0.27015384615384613,0.27015384615384613,0.23871887601263458,0.23871887601263456,1.9552668908747228,1.9734520154840804
9.0,0.2744615384615385,0.2744615384615385,0.2702514133218072,0.2702514133218072,0.2744615384615385,0.2744615384615385,0.2744615384615385,0.2744615384615385,0.22877411481680426,0.22877411481680426,1.940317476668009,1.952681694311254
10.0,0.2912307692307693,0.2912307692307693,0.32167775771771157,0.3216777577177116,0.2912307692307693,0.29123076923076924,0.2912307692307693,0.2912307692307693,0.2630462687571704,0.2630462687571704,1.898504358966176,1.9134676484500663
11.0,0.3013846153846154,0.3013846153846154,0.3279077641071641,0.3279077641071641,0.3013846153846154,0.3013846153846154,0.3013846153846154,0.3013846153846154,0.26065555107664373,0.26065555107664373,1.8828768340552728,1.898624375287224
12.0,0.2993846153846154,0.2993846153846154,0.33020074326105353,0.33020074326105353,0.2993846153846154,0.2993846153846154,0.2993846153846154,0.2993846153846154,0.26644424292107427,0.26644424292107427,1.8734869160303256,1.8819555661257574
13.0,0.2993846153846154,0.2993846153846154,0.32871603734441596,0.32871603734441596,0.2993846153846154,0.29938461538461536,0.2993846153846154,0.2993846153846154,0.2708590454583588,0.2708590454583588,1.884381086651872,1.9045049527112177
14.0,0.3075384615384615,0.3075384615384615,0.32519459575712134,0.3251945957571213,0.3075384615384615,0.3075384615384615,0.3075384615384615,0.3075384615384615,0.27563054731146047,0.27563054731146047,1.8508025372900616,1.875027988938724
15.0,0.3113846153846154,0.3113846153846154,0.3246391904847595,0.3246391904847595,0.3113846153846154,0.31138461538461537,0.3113846153846154,0.3113846153846154,0.2750287325949595,0.2750287325949595,1.8431690844093882,1.8599502745796652
16.0,0.3316923076923077,0.3316923076923077,0.3616132753511472,0.36161327535114723,0.3316923076923077,0.3316923076923077,0.3316923076923077,0.3316923076923077,0.3104053015950391,0.3104053015950391,1.8190369675799114,1.8443068686653585
17.0,0.33892307692307694,0.33892307692307694,0.3586551304069635,0.35865513040696345,0.33892307692307694,0.33892307692307694,0.33892307692307694,0.33892307692307694,0.3216032049297651,0.321603204929765,1.7907323162730147,1.82435881951276
18.0,0.34015384615384614,0.34015384615384614,0.361927889011361,0.36192788901136097,0.34015384615384614,0.34015384615384614,0.34015384615384614,0.34015384615384614,0.3173754196362113,0.3173754196362112,1.7861343785030086,1.8006867983761956
19.0,0.3506923076923077,0.3506923076923077,0.3791650144252803,0.3791650144252802,0.3506923076923077,0.3506923076923077,0.3506923076923077,0.3506923076923077,0.33575089089128135,0.33575089089128135,1.771757560823022,1.7979239730273975
20.0,0.3474615384615385,0.3474615384615385,0.3970273994984687,0.39702739949846877,0.3474615384615385,0.3474615384615385,0.3474615384615385,0.3474615384615385,0.31900071734341323,0.31900071734341323,1.7591605512107293,1.7724182156955497
21.0,0.3626153846153847,0.3626153846153847,0.3869771297335678,0.3869771297335678,0.3626153846153847,0.3626153846153847,0.3626153846153847,0.3626153846153847,0.3398753013695604,0.33987530136956046,1.7332944032622546,1.7597301216686472
22.0,0.3447692307692308,0.3447692307692308,0.3722230785371556,0.3722230785371556,0.3447692307692308,0.3447692307692308,0.3447692307692308,0.3447692307692308,0.3169552546271778,0.3169552546271778,1.7350011546437334,1.7662709755056045
23.0,0.37584615384615383,0.37584615384615383,0.3887503958219044,0.38875039582190446,0.37584615384615383,0.37584615384615383,0.37584615384615383,0.37584615384615383,0.35994333963239494,0.35994333963239494,1.6965954757318265,1.7187408377142515
24.0,0.36923076923076925,0.36923076923076925,0.4011562018136706,0.4011562018136706,0.36923076923076925,0.36923076923076925,0.36923076923076925,0.36923076923076925,0.349560304993453,0.349560304993453,1.6914690081666155,1.712549750945147
25.0,0.36576923076923074,0.36576923076923074,0.38381401666682946,0.3838140166668294,0.36576923076923074,0.36576923076923074,0.36576923076923074,0.36576923076923074,0.3374599478144274,0.33745994781442734,1.7025075598460873,1.7229173099293429
