Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.2214833333333333,0.2214833333333333,0.25413636794207445,0.25413636794207445,0.2214833333333333,0.22148333333333334,0.2214833333333333,0.2214833333333333,0.1767069772797621,0.1767069772797621,2.070013887324232
1.0,0.3170333333333334,0.3170333333333334,0.3329597588504734,0.3329597588504734,0.3170333333333334,0.3170333333333334,0.3170333333333334,0.3170333333333334,0.2879339458783551,0.2879339458783551,1.8636798905565382
2.0,0.3771833333333333,0.3771833333333333,0.38968233796061214,0.38968233796061214,0.3771833333333333,0.3771833333333333,0.3771833333333333,0.3771833333333333,0.3618805656085454,0.36188056560854553,1.7196525368284672
3.0,0.40186666666666665,0.40186666666666665,0.42798710525479455,0.42798710525479455,0.40186666666666665,0.40186666666666665,0.40186666666666665,0.40186666666666665,0.3840989004262342,0.3840989004262342,1.651436188753615
4.0,0.4391,0.4391,0.44690168762207494,0.44690168762207483,0.4391,0.4391,0.4391,0.4391,0.4289007710528504,0.4289007710528504,1.5566446286566715
5.0,0.45631666666666665,0.45631666666666665,0.47281676979971826,0.47281676979971826,0.45631666666666665,0.45631666666666665,0.45631666666666665,0.45631666666666665,0.44717063912215205,0.44717063912215205,1.5080499333270052
6.0,0.4662333333333334,0.4662333333333334,0.48844462177309034,0.48844462177309034,0.4662333333333334,0.4662333333333334,0.4662333333333334,0.4662333333333334,0.4546630898604146,0.4546630898604146,1.4880429791643266
7.0,0.4883,0.4883,0.5052916312778697,0.5052916312778696,0.4883,0.4883,0.4883,0.4883,0.486069864004768,0.4860698640047679,1.4310722952193404
8.0,0.5013,0.5013,0.5095825406993523,0.5095825406993523,0.5013,0.5013,0.5013,0.5013,0.48863313248924695,0.48863313248924695,1.3931731484037766
9.0,0.5070166666666666,0.5070166666666666,0.5186429406723038,0.5186429406723038,0.5070166666666666,0.5070166666666667,0.5070166666666666,0.5070166666666666,0.4993569920909411,0.4993569920909411,1.3777391841436955
10.0,0.5163166666666666,0.5163166666666666,0.5340354571193341,0.5340354571193342,0.5163166666666666,0.5163166666666666,0.5163166666666666,0.5163166666666666,0.5123964336438798,0.5123964336438798,1.3612457413622674
11.0,0.5263333333333333,0.5263333333333333,0.539070667144244,0.5390706671442441,0.5263333333333333,0.5263333333333333,0.5263333333333333,0.5263333333333333,0.5227747007642979,0.5227747007642979,1.3351823818810442
12.0,0.5227333333333334,0.5227333333333334,0.5353849400086904,0.5353849400086904,0.5227333333333334,0.5227333333333334,0.5227333333333334,0.5227333333333334,0.5167154649647797,0.5167154649647798,1.3427550403361628
13.0,0.5294333333333333,0.5294333333333333,0.5494978519231275,0.5494978519231275,0.5294333333333333,0.5294333333333334,0.5294333333333333,0.5294333333333333,0.5221409422881955,0.5221409422881955,1.3168437184805566
14.0,0.5413,0.5413,0.5502562476182702,0.5502562476182701,0.5413,0.5413,0.5413,0.5413,0.5368107177962365,0.5368107177962365,1.2946060209832293
15.0,0.5403833333333333,0.5403833333333333,0.5559187520383322,0.5559187520383323,0.5403833333333333,0.5403833333333333,0.5403833333333333,0.5403833333333333,0.5381940647435116,0.5381940647435115,1.2949257684514879
16.0,0.5508500000000001,0.5508500000000001,0.5582784934699732,0.5582784934699732,0.5508500000000001,0.5508500000000001,0.5508500000000001,0.5508500000000001,0.5474944651128892,0.5474944651128892,1.2689725257614826
17.0,0.55,0.55,0.5689021706965796,0.5689021706965796,0.55,0.55,0.55,0.55,0.547102508369343,0.547102508369343,1.2778315766060604
18.0,0.5535333333333334,0.5535333333333334,0.5640879301994521,0.564087930199452,0.5535333333333334,0.5535333333333334,0.5535333333333334,0.5535333333333334,0.5482005097711449,0.5482005097711451,1.2562218343957943
19.0,0.5498833333333333,0.5498833333333333,0.5629994652737592,0.5629994652737593,0.5498833333333333,0.5498833333333334,0.5498833333333333,0.5498833333333333,0.5448906723042782,0.5448906723042783,1.2767778536740768
20.0,0.55495,0.55495,0.5625135786672626,0.5625135786672626,0.55495,0.55495,0.55495,0.55495,0.547659214795393,0.5476592147953929,1.253683051213305
21.0,0.5591666666666667,0.5591666666666667,0.5713238916643665,0.5713238916643665,0.5591666666666667,0.5591666666666667,0.5591666666666667,0.5591666666666667,0.5526355456827431,0.5526355456827431,1.249090428047992
22.0,0.5643333333333332,0.5643333333333332,0.5746359109526658,0.5746359109526658,0.5643333333333332,0.5643333333333332,0.5643333333333332,0.5643333333333332,0.5598577762992634,0.5598577762992634,1.240371396820596
23.0,0.5701333333333334,0.5701333333333334,0.5810641394277386,0.5810641394277386,0.5701333333333334,0.5701333333333334,0.5701333333333334,0.5701333333333334,0.5666985017573286,0.5666985017573285,1.218688527130066
24.0,0.5667500000000001,0.5667500000000001,0.5761126139265045,0.5761126139265046,0.5667500000000001,0.5667500000000001,0.5667500000000001,0.5667500000000001,0.5629648173498527,0.5629648173498528,1.2287389093891103
25.0,0.57665,0.57665,0.5824381327530292,0.5824381327530291,0.57665,0.57665,0.57665,0.57665,0.5729185837366765,0.5729185837366765,1.2081163252921816
26.0,0.5744833333333335,0.5744833333333335,0.581244017313408,0.5812440173134081,0.5744833333333335,0.5744833333333335,0.5744833333333335,0.5744833333333335,0.5695660069216741,0.5695660069216743,1.2073113790217866
27.0,0.5728166666666666,0.5728166666666666,0.5874439974116827,0.5874439974116827,0.5728166666666666,0.5728166666666666,0.5728166666666666,0.5728166666666666,0.571450662531923,0.571450662531923,1.2133987459730595
