Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.31071666666666664,0.31071666666666664,0.3351805445596055,0.33518054455960555,0.31071666666666664,0.31071666666666664,0.31071666666666664,0.31071666666666664,0.2846641363057444,0.28466413630574433,1.903690431219466
1.0,0.3702166666666667,0.3702166666666667,0.3937382415405752,0.3937382415405752,0.3702166666666667,0.3702166666666667,0.3702166666666667,0.3702166666666667,0.35148611807778585,0.3514861180777859,1.7528505477499454
2.0,0.3959833333333333,0.3959833333333333,0.41683394833167037,0.41683394833167037,0.3959833333333333,0.39598333333333335,0.3959833333333333,0.3959833333333333,0.3806130341789699,0.3806130341789699,1.6801673866332845
3.0,0.41831666666666667,0.41831666666666667,0.4322321311549196,0.4322321311549196,0.41831666666666667,0.41831666666666667,0.41831666666666667,0.41831666666666667,0.40913982410234284,0.40913982410234284,1.6152241607929798
4.0,0.43163333333333326,0.43163333333333326,0.4514339512933515,0.4514339512933515,0.43163333333333326,0.43163333333333326,0.43163333333333326,0.43163333333333326,0.4260737428330835,0.4260737428330835,1.5931310602959166
5.0,0.4491666666666667,0.4491666666666667,0.45608159194714515,0.45608159194714515,0.4491666666666667,0.4491666666666667,0.4491666666666667,0.4491666666666667,0.4413920299483152,0.4413920299483152,1.5463530644457393
6.0,0.45438333333333336,0.45438333333333336,0.4646156169948741,0.4646156169948741,0.45438333333333336,0.45438333333333336,0.45438333333333336,0.45438333333333336,0.446745756292275,0.446745756292275,1.5259951283323003
7.0,0.4613333333333333,0.4613333333333333,0.4733547304547301,0.4733547304547301,0.4613333333333333,0.4613333333333333,0.4613333333333333,0.4613333333333333,0.4546439019917184,0.4546439019917184,1.51461665123067
8.0,0.4664833333333334,0.4664833333333334,0.4784752379851872,0.4784752379851874,0.4664833333333334,0.4664833333333333,0.4664833333333334,0.4664833333333334,0.46256483476500854,0.46256483476500865,1.4947099880969272
9.0,0.47519999999999996,0.47519999999999996,0.4798164834706838,0.4798164834706838,0.47519999999999996,0.47519999999999996,0.47519999999999996,0.47519999999999996,0.4685687545891131,0.4685687545891131,1.4800980086022237
10.0,0.47511666666666663,0.47511666666666663,0.4889623670432134,0.4889623670432134,0.47511666666666663,0.47511666666666663,0.47511666666666663,0.47511666666666663,0.4663717837249316,0.46637178372493154,1.4655777633190155
11.0,0.4779333333333334,0.4779333333333334,0.49126923290276386,0.49126923290276386,0.4779333333333334,0.4779333333333334,0.4779333333333334,0.4779333333333334,0.47301607251611266,0.47301607251611255,1.4659231718550338
12.0,0.47833333333333333,0.47833333333333333,0.5021885098077136,0.5021885098077136,0.47833333333333333,0.47833333333333333,0.47833333333333333,0.47833333333333333,0.47179074765405576,0.47179074765405565,1.4566856848432663
13.0,0.48445,0.48445,0.49741912262698085,0.49741912262698085,0.48445,0.4844500000000001,0.48445,0.48445,0.4777418503926352,0.4777418503926351,1.44205610257514
14.0,0.49221666666666664,0.49221666666666664,0.5011511166943559,0.501151116694356,0.49221666666666664,0.49221666666666664,0.49221666666666664,0.49221666666666664,0.48499825521228923,0.4849982552122891,1.4256821897435694
15.0,0.49143333333333333,0.49143333333333333,0.5013260101402881,0.5013260101402881,0.49143333333333333,0.49143333333333333,0.49143333333333333,0.49143333333333333,0.48375653282482256,0.48375653282482256,1.4172406727963307
16.0,0.49903333333333333,0.49903333333333333,0.5090745868925108,0.5090745868925108,0.49903333333333333,0.49903333333333333,0.49903333333333333,0.49903333333333333,0.4947043833583164,0.4947043833583164,1.4021731369038846
17.0,0.4997999999999999,0.4997999999999999,0.5083174532597641,0.508317453259764,0.4997999999999999,0.4997999999999999,0.4997999999999999,0.4997999999999999,0.4925610524629242,0.4925610524629242,1.3916087936847767
18.0,0.5053166666666666,0.5053166666666666,0.5148278329453797,0.5148278329453797,0.5053166666666666,0.5053166666666666,0.5053166666666666,0.5053166666666666,0.49918943828887147,0.4991894382888716,1.3895147142892188
19.0,0.50755,0.50755,0.5201422211201884,0.5201422211201884,0.50755,0.50755,0.50755,0.50755,0.5022993859551776,0.5022993859551776,1.3818084879758512
20.0,0.5077333333333333,0.5077333333333333,0.5279325205867202,0.5279325205867201,0.5077333333333333,0.5077333333333333,0.5077333333333333,0.5077333333333333,0.5053527577730133,0.5053527577730133,1.3785260520082838
21.0,0.5090166666666667,0.5090166666666667,0.5240430301878956,0.5240430301878954,0.5090166666666667,0.5090166666666666,0.5090166666666667,0.5090166666666667,0.5019828424741437,0.5019828424741437,1.3728258536851152
22.0,0.5136166666666667,0.5136166666666667,0.522714137551237,0.522714137551237,0.5136166666666667,0.5136166666666667,0.5136166666666667,0.5136166666666667,0.5057141617836455,0.5057141617836455,1.3662080291737901
23.0,0.5188166666666667,0.5188166666666667,0.5242534297755299,0.5242534297755299,0.5188166666666667,0.5188166666666667,0.5188166666666667,0.5188166666666667,0.5086722584864657,0.5086722584864656,1.35271737968668
24.0,0.5215666666666667,0.5215666666666667,0.5351696667391452,0.5351696667391452,0.5215666666666667,0.5215666666666667,0.5215666666666667,0.5215666666666667,0.5169650424238545,0.5169650424238545,1.346020817820062
25.0,0.522,0.522,0.5365247178326296,0.5365247178326296,0.522,0.522,0.522,0.522,0.5187279403500404,0.5187279403500404,1.343910853406216
26.0,0.5260333333333334,0.5260333333333334,0.533903642098701,0.533903642098701,0.5260333333333334,0.5260333333333334,0.5260333333333334,0.5260333333333334,0.518874402428312,0.5188744024283118,1.3286890289884932
27.0,0.5185833333333333,0.5185833333333333,0.5372115711617361,0.5372115711617363,0.5185833333333333,0.5185833333333333,0.5185833333333333,0.5185833333333333,0.5158377864209295,0.5158377864209296,1.3422631714572297
28.0,0.5271833333333333,0.5271833333333333,0.5388802792749017,0.5388802792749016,0.5271833333333333,0.5271833333333333,0.5271833333333333,0.5271833333333333,0.5215349826156638,0.5215349826156638,1.327827678018428
29.0,0.5346,0.5346,0.543970910825724,0.543970910825724,0.5346,0.5346,0.5346,0.5346,0.5294986375154009,0.5294986375154007,1.312249357522802
30.0,0.53015,0.53015,0.5379349134708473,0.5379349134708473,0.53015,0.53015,0.53015,0.53015,0.5243678947577608,0.5243678947577607,1.313851306286264
31.0,0.5322833333333333,0.5322833333333333,0.5493456387023503,0.5493456387023503,0.5322833333333333,0.5322833333333333,0.5322833333333333,0.5322833333333333,0.5312434434528576,0.5312434434528575,1.3130749725915016
32.0,0.5359,0.5359,0.5431418264397051,0.5431418264397051,0.5359,0.5359,0.5359,0.5359,0.5297347754097995,0.5297347754097995,1.3087738165830045
33.0,0.5362,0.5362,0.5474623244797447,0.5474623244797446,0.5362,0.5362,0.5362,0.5362,0.532190719241813,0.532190719241813,1.3062511128313998
34.0,0.5400833333333335,0.5400833333333335,0.5480793284983542,0.5480793284983543,0.5400833333333335,0.5400833333333332,0.5400833333333335,0.5400833333333335,0.5367233927218586,0.5367233927218586,1.2925905798343902
35.0,0.5394333333333333,0.5394333333333333,0.5528318648865174,0.5528318648865175,0.5394333333333333,0.5394333333333333,0.5394333333333333,0.5394333333333333,0.5355927708212901,0.5355927708212901,1.2952797407799579
36.0,0.5427833333333333,0.5427833333333333,0.5524857535532888,0.5524857535532887,0.5427833333333333,0.5427833333333333,0.5427833333333333,0.5427833333333333,0.5380508450370183,0.538050845037018,1.28198006603312
37.0,0.5441666666666667,0.5441666666666667,0.5516577825072125,0.5516577825072125,0.5441666666666667,0.5441666666666667,0.5441666666666667,0.5441666666666667,0.5402098250411436,0.5402098250411436,1.2829266609029566
38.0,0.5429666666666666,0.5429666666666666,0.5538901268925638,0.5538901268925639,0.5429666666666666,0.5429666666666666,0.5429666666666666,0.5429666666666666,0.5366471119125138,0.5366471119125138,1.2829721679712862
39.0,0.5474666666666667,0.5474666666666667,0.556761699734398,0.556761699734398,0.5474666666666667,0.5474666666666667,0.5474666666666667,0.5474666666666667,0.5446689746419084,0.5446689746419084,1.2754058243112358
40.0,0.5472833333333333,0.5472833333333333,0.56152637026404,0.5615263702640398,0.5472833333333333,0.5472833333333333,0.5472833333333333,0.5472833333333333,0.5426767894583234,0.5426767894583234,1.276773644635018
41.0,0.5496000000000001,0.5496000000000001,0.5607642556252864,0.5607642556252865,0.5496000000000001,0.5496000000000001,0.5496000000000001,0.5496000000000001,0.5461510556599918,0.5461510556599919,1.2694700022327141
42.0,0.5486833333333333,0.5486833333333333,0.5589741608353915,0.5589741608353913,0.5486833333333333,0.5486833333333333,0.5486833333333333,0.5486833333333333,0.5458209864480905,0.5458209864480905,1.27415738099433
43.0,0.5444166666666665,0.5444166666666665,0.5584292849047433,0.5584292849047433,0.5444166666666665,0.5444166666666667,0.5444166666666665,0.5444166666666665,0.5381359728954234,0.5381359728954234,1.286689339229401
44.0,0.5463166666666668,0.5463166666666668,0.5587942844614756,0.5587942844614756,0.5463166666666668,0.5463166666666668,0.5463166666666668,0.5463166666666668,0.5409500236660019,0.5409500236660019,1.2811532428924075
45.0,0.5535333333333333,0.5535333333333333,0.5609661341125861,0.5609661341125861,0.5535333333333333,0.5535333333333333,0.5535333333333333,0.5535333333333333,0.5495251274585611,0.5495251274585611,1.2546522718160709
46.0,0.5507166666666666,0.5507166666666666,0.5610896426283201,0.5610896426283201,0.5507166666666666,0.5507166666666667,0.5507166666666666,0.5507166666666666,0.5465510759184843,0.5465510759184843,1.2626177243095764
47.0,0.5573833333333333,0.5573833333333333,0.5643697487405998,0.5643697487405999,0.5573833333333333,0.5573833333333333,0.5573833333333333,0.5573833333333333,0.5539258696398406,0.5539258696398404,1.2511558206791573
48.0,0.5577833333333333,0.5577833333333333,0.5648901473487891,0.5648901473487891,0.5577833333333333,0.5577833333333333,0.5577833333333333,0.5577833333333333,0.5540366401551247,0.5540366401551247,1.2483205582233186
49.0,0.5566,0.5566,0.5630355234114539,0.5630355234114538,0.5566,0.5566,0.5566,0.5566,0.5515753310177397,0.5515753310177396,1.248215789553967
50.0,0.5550333333333334,0.5550333333333334,0.5663342178052045,0.5663342178052045,0.5550333333333334,0.5550333333333333,0.5550333333333334,0.5550333333333334,0.5516696656095946,0.5516696656095947,1.2586334830902994
51.0,0.5575833333333333,0.5575833333333333,0.5667760042489467,0.5667760042489467,0.5575833333333333,0.5575833333333334,0.5575833333333333,0.5575833333333333,0.5527578967698449,0.5527578967698449,1.2460342506144908
52.0,0.56035,0.56035,0.5674451288022999,0.5674451288022998,0.56035,0.5603499999999999,0.56035,0.56035,0.554832418282414,0.554832418282414,1.2422299770598717
53.0,0.55905,0.55905,0.5677157158341418,0.5677157158341418,0.55905,0.55905,0.55905,0.55905,0.5556368116583739,0.555636811658374,1.243026345143927
54.0,0.5629500000000001,0.5629500000000001,0.5666506353522937,0.5666506353522935,0.5629500000000001,0.5629500000000001,0.5629500000000001,0.5629500000000001,0.5589748050478701,0.5589748050478702,1.236789070608768
55.0,0.5657833333333334,0.5657833333333334,0.5756285883446208,0.5756285883446208,0.5657833333333334,0.5657833333333334,0.5657833333333334,0.5657833333333334,0.5630672651291698,0.5630672651291699,1.2343826430275084
56.0,0.56235,0.56235,0.5712622725089159,0.571262272508916,0.56235,0.5623499999999999,0.56235,0.56235,0.5577950731084279,0.5577950731084279,1.2386078483880836
