Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.030766666666666664,0.030766666666666664,0.008987421067885358,0.00898742106788536,0.030766666666666664,0.030766666666666664,0.030766666666666664,0.030766666666666664,0.009290525986574845,0.009290525986574845,4.382168334088427
1.0,0.0932,0.0932,0.08874371293497904,0.08874371293497904,0.0932,0.0932,0.0932,0.0932,0.06468985519843269,0.0646898551984327,3.946471333503723
2.0,0.13068333333333332,0.13068333333333332,0.14312238503272154,0.14312238503272154,0.13068333333333332,0.13068333333333332,0.13068333333333332,0.13068333333333332,0.10557887957390547,0.10557887957390544,3.715098851538719
3.0,0.16255000000000003,0.16255000000000003,0.1714118842253347,0.17141188422533465,0.16255000000000003,0.16254999999999997,0.16255000000000003,0.16255000000000003,0.1363527959539591,0.1363527959539591,3.5411696748530614
4.0,0.1855,0.1855,0.19882226365106614,0.19882226365106617,0.1855,0.18550000000000003,0.1855,0.1855,0.16381493517550522,0.16381493517550522,3.4308108025408806
5.0,0.20529999999999998,0.20529999999999998,0.22833092448194803,0.22833092448194803,0.20529999999999998,0.20529999999999998,0.20529999999999998,0.20529999999999998,0.18678564635940412,0.18678564635940412,3.320449805766978
6.0,0.22583333333333333,0.22583333333333333,0.2423568707880281,0.2423568707880281,0.22583333333333333,0.22583333333333333,0.22583333333333333,0.22583333333333333,0.2068645357615017,0.20686453576150168,3.2119787137559115
7.0,0.23641666666666666,0.23641666666666666,0.26203109967597016,0.26203109967597016,0.23641666666666666,0.23641666666666666,0.23641666666666666,0.23641666666666666,0.2187706791479417,0.2187706791479417,3.152024199861161
8.0,0.2574,0.2574,0.27320777185983436,0.27320777185983436,0.2574,0.2574,0.2574,0.2574,0.24239950403655836,0.24239950403655838,3.042009211601095
9.0,0.26835,0.26835,0.290669357312001,0.290669357312001,0.26835,0.26835,0.26835,0.26835,0.2539094040127696,0.2539094040127696,2.990616010605021
10.0,0.2768666666666667,0.2768666666666667,0.300297194499881,0.300297194499881,0.2768666666666667,0.2768666666666667,0.2768666666666667,0.2768666666666667,0.2626010821794413,0.2626010821794413,2.9507319655824213
11.0,0.28090000000000004,0.28090000000000004,0.3024244732835327,0.3024244732835327,0.28090000000000004,0.2808999999999999,0.28090000000000004,0.28090000000000004,0.2667011402188373,0.2667011402188373,2.9125905041999003
12.0,0.29538333333333333,0.29538333333333333,0.31462904869256925,0.31462904869256925,0.29538333333333333,0.29538333333333333,0.29538333333333333,0.29538333333333333,0.282014839661848,0.28201483966184804,2.8547117768449985
13.0,0.29995000000000005,0.29995000000000005,0.3224048752368699,0.3224048752368699,0.29995000000000005,0.29995,0.29995000000000005,0.29995000000000005,0.28889980566839013,0.28889980566839013,2.8385587887561075
14.0,0.3025833333333333,0.3025833333333333,0.3265031119744707,0.3265031119744707,0.3025833333333333,0.3025833333333333,0.3025833333333333,0.3025833333333333,0.28985418060460344,0.28985418060460344,2.829001681348111
15.0,0.3083666666666667,0.3083666666666667,0.33067137378389955,0.3306713737838996,0.3083666666666667,0.3083666666666667,0.3083666666666667,0.3083666666666667,0.2969754870711875,0.2969754870711875,2.7997045144121695
