epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),validation f1-measure (micro),validation f1-measure (macro),validation f1-measure (weighted),train f1-measure (micro),train f1-measure (macro),train f1-measure (weighted),loss,validation loss,train loss
0.0,0.26984285714285716,0.27386163474648256,0.3423512911205742,0.3462136345867206,0.27691725425706987,0.2698582930236823,0.27691725425706987,0.27537281633708016,0.2021497977283826,0.20739627538034333,0.27654327671691703,0.2016843622194516,0.20697674310450703,0.27572229139249294,0.2016030537345638,0.20680219568541594,2.0496922523463694,2.0498710372231224,2.050070812224132
1.0,0.611057142857143,0.6137073579886583,0.6306942475214363,0.6330196313005326,0.6162279618512905,0.6110622173725652,0.6162279618512905,0.614963111460874,0.6018946772146576,0.6061220053124352,0.6130470766883898,0.599022047149963,0.6033702751668357,0.6132772612077535,0.5995522546692243,0.6037743747102132,1.2000390278149957,1.205341384221207,1.2010879748212506
2.0,0.6681857142857143,0.6699217741039417,0.6897741262609801,0.6912115730334969,0.6734238795406982,0.6681939481519823,0.6734238795406982,0.6716639467089187,0.6629236999615872,0.6666397617534523,0.6711772939297027,0.6624667796714719,0.6663172401574025,0.6709368350241084,0.6616881674559348,0.665459552619217,1.0087624195503861,1.0151985377073287,1.0089503387509262
3.0,0.7002142857142857,0.7002748899733472,0.7177122584184497,0.7177097324581446,0.7057494660207021,0.7002155959598699,0.7057494660207021,0.7030005463533315,0.6959781948729387,0.6989305806062273,0.7016332494707874,0.6946216123923452,0.6976313210348813,0.7047793889433107,0.6982243105766125,0.7011294004962465,0.8990855025918517,0.9043864763595841,0.8973846717912533
4.0,0.7146,0.716688050247611,0.7345299058738493,0.7369410628820077,0.7176313827965095,0.7146048311052361,0.7176313827965095,0.7171556259840056,0.7125358993264415,0.7152140778070378,0.7154236833864742,0.7100557549358533,0.7128995578621864,0.7176859119982593,0.7127525562609004,0.7154355185045518,0.8672314985702027,0.8712117804045028,0.8646577346219024
5.0,0.7428142857142856,0.7445544555047446,0.7524837821060817,0.7543114392097243,0.7463014490542006,0.7428180264873796,0.7463014490542006,0.7454258751299172,0.7412435990135953,0.7439636789641403,0.7415837077056159,0.7374987155811696,0.7401730369904397,0.7451755480799908,0.7410971814347973,0.7437841643780223,0.7926603753544968,0.7972814461047,0.7913901203401802
6.0,0.7476,0.7483458695202878,0.7619383222298848,0.7625202874088813,0.7519068351144369,0.7476011446937375,0.7519068351144369,0.7501169110008775,0.745336529241229,0.7479761625905711,0.7492840540503061,0.7440587144475347,0.7467348412680948,0.7524812671113645,0.7476894519305489,0.7503382693795974,0.7707227476655621,0.7757429590279405,0.7665203651725337
7.0,0.7663857142857142,0.7678203345126622,0.7753804365011657,0.7767447093826401,0.7698459571574452,0.7663864236111905,0.7698459571574452,0.7688296692917872,0.7656704103873795,0.7681280474808287,0.7652950843525195,0.7620518434627421,0.7645370572184083,0.7685157894440249,0.7655907097895402,0.7680693003497924,0.719953914211221,0.723614678260955,0.7175202549789762
8.0,0.7683428571428571,0.7707774092550596,0.7798597266046166,0.7819543419922952,0.7714719757196666,0.7683447333350298,0.7714719757196666,0.7711216953336193,0.7662631855951825,0.768992161040939,0.7710499258593886,0.7662252457160031,0.7689423561707246,0.772114687647996,0.7672533876055948,0.7700112809054709,0.7077276466643972,0.7109948382458904,0.7047392498266879
9.0,0.7716285714285714,0.7735503482510613,0.7866471734190081,0.7884577571867708,0.774853317652266,0.7716296640035945,0.774853317652266,0.7742007977221942,0.7708408612176504,0.7735211306749296,0.7712765710334771,0.7678688798929021,0.770522955942653,0.7759811846137183,0.7728017000917078,0.7754518900170196,0.6989345600615898,0.7058015598492189,0.695645742564637
10.0,0.7861285714285715,0.7878662423236378,0.7921678564288731,0.7936607962680802,0.7894372728151904,0.7861294754107465,0.7894372728151904,0.7886484701236091,0.7847471774764581,0.7872260468249271,0.785333455727059,0.7816418468937311,0.7840284741631331,0.7901869573271141,0.7864885765295322,0.7889016153579924,0.6555935988687489,0.6618105026131327,0.6515975398914463
