epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),validation f1-measure (micro),validation f1-measure (macro),validation f1-measure (weighted),train f1-measure (micro),train f1-measure (macro),train f1-measure (weighted),loss,validation loss,train loss
0.0,0.12430769230769231,0.12430769230769231,0.08716045243952156,0.08716045243952156,0.12430769230769231,0.12430769230769231,0.12430769230769231,0.1243076923076923,0.04997159135198585,0.04997159135198586,0.12480769230769231,0.04982589582966755,0.04982589582966755,0.12482905982905983,0.05040328305000843,0.05040328305000843,2.2676575242019283,2.2649387275471407,2.267807811295905
1.0,0.1523846153846154,0.1523846153846154,0.1301217284726433,0.13012172847264333,0.1523846153846154,0.1523846153846154,0.1523846153846154,0.1523846153846154,0.09017243672588654,0.09017243672588653,0.1571153846153846,0.09442987545118525,0.09442987545118524,0.15681623931623934,0.09356085859684424,0.09356085859684425,2.1921663505275073,2.187686202105354,2.1884713281579566
2.0,0.2103076923076923,0.2103076923076923,0.2186615449884457,0.2186615449884457,0.2103076923076923,0.2103076923076923,0.2103076923076923,0.2103076923076923,0.1564188263411103,0.1564188263411103,0.21211538461538457,0.1624381038227273,0.1624381038227273,0.21202991452991454,0.15848273213996372,0.15848273213996372,2.058110152802816,2.049894832162296,2.050095436362182
3.0,0.2413846153846154,0.2413846153846154,0.2763402401601455,0.27634024016014563,0.2413846153846154,0.2413846153846154,0.2413846153846154,0.2413846153846154,0.1923569942905456,0.1923569942905456,0.24846153846153846,0.1968224809615327,0.1968224809615327,0.2469017094017094,0.19797937692223522,0.19797937692223522,1.9506027913675077,1.9363803316565122,1.9394248482321395
4.0,0.2839230769230769,0.2839230769230769,0.287696556608967,0.287696556608967,0.2839230769230769,0.2839230769230769,0.2839230769230769,0.2839230769230769,0.24591343341711097,0.24591343341711097,0.28019230769230774,0.24132176494382113,0.24132176494382113,0.2847008547008547,0.24613199588567344,0.2461319958856735,1.8659111319518673,1.8540222672855151,1.8538413886310294
5.0,0.317,0.317,0.34140211748537996,0.34140211748537996,0.317,0.317,0.317,0.317,0.2868638094866979,0.2868638094866979,0.3175,0.28762287487408983,0.28762287487408983,0.32235042735042735,0.29028313586108395,0.29028313586108395,1.8147901447807873,1.806751636897816,1.8008102279131104
6.0,0.329,0.329,0.3546101596021502,0.35461015960215025,0.329,0.329,0.329,0.329,0.30135239850057544,0.30135239850057544,0.31769230769230766,0.29204767743595555,0.29204767743595555,0.3351282051282052,0.30892485589768026,0.30892485589768026,1.7772295306368573,1.7712565590353573,1.7596247296755005
7.0,0.33669230769230774,0.33669230769230774,0.38213457644586357,0.38213457644586357,0.33669230769230774,0.33669230769230774,0.33669230769230774,0.33669230769230774,0.3129873288821852,0.3129873288821852,0.32788461538461544,0.3052362010691531,0.3052362010691531,0.34123931623931625,0.31948921322818064,0.3194892132281806,1.7703186843453385,1.7556307007284726,1.7472157716751098
8.0,0.33992307692307694,0.33992307692307694,0.3791126448408412,0.3791126448408412,0.33992307692307694,0.33992307692307694,0.33992307692307694,0.33992307692307694,0.31544797785033823,0.3154479778503383,0.34500000000000003,0.3179591953136081,0.3179591953136081,0.3548931623931623,0.32887034079835537,0.3288703407983554,1.7367822013250211,1.72408604481641,1.7122484645064997
9.0,0.3620769230769231,0.3620769230769231,0.4030283419143011,0.403028341914301,0.3620769230769231,0.3620769230769231,0.3620769230769231,0.3620769230769231,0.33272809312823015,0.3327280931282302,0.36288461538461536,0.33448238765800087,0.33448238765800087,0.37423076923076926,0.3455517888731805,0.34555178887318055,1.6912389051623458,1.687476871995365,1.6608168215978711
10.0,0.389,0.389,0.41846330899029827,0.41846330899029827,0.389,0.38899999999999996,0.389,0.38900000000000007,0.37140731910284763,0.37140731910284763,0.38,0.36193855625277077,0.36193855625277077,0.3981410256410256,0.3798020778297045,0.3798020778297045,1.6428536804710947,1.6343980789184567,1.6075443786828696
