Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.02946666666666667,0.02946666666666667,0.009522432334725594,0.009522432334725594,0.02946666666666667,0.029466666666666662,0.02946666666666667,0.02946666666666667,0.009069069610664872,0.009069069610664872,4.442585012760568
1.0,0.07980000000000001,0.07980000000000001,0.07487495563239813,0.07487495563239813,0.07980000000000001,0.0798,0.07980000000000001,0.07980000000000001,0.05354573572398062,0.05354573572398062,4.032447463654457
2.0,0.11113333333333333,0.11113333333333333,0.11590629859166243,0.11590629859166243,0.11113333333333333,0.11113333333333333,0.11113333333333333,0.11113333333333333,0.08308168995830503,0.08308168995830502,3.82559536010661
3.0,0.13353333333333334,0.13353333333333334,0.13921265232457433,0.13921265232457433,0.13353333333333334,0.13353333333333334,0.13353333333333334,0.13353333333333334,0.10926381776040835,0.10926381776040835,3.6937143008759685
4.0,0.14753333333333335,0.14753333333333335,0.15512940993605043,0.1551294099360504,0.14753333333333335,0.14753333333333335,0.14753333333333335,0.14753333333333335,0.12513558114391723,0.1251355811439172,3.6189442586391527
5.0,0.16793333333333332,0.16793333333333332,0.17363662643984135,0.17363662643984135,0.16793333333333332,0.16793333333333332,0.16793333333333332,0.16793333333333332,0.14602022688566052,0.14602022688566052,3.519151506018131
6.0,0.18235,0.18235,0.19125130787839173,0.19125130787839173,0.18235,0.18234999999999998,0.18235,0.18235,0.15884453634583406,0.15884453634583404,3.441277627742037
7.0,0.1898,0.1898,0.20281686199255944,0.20281686199255938,0.1898,0.1898,0.1898,0.1898,0.16936456027063826,0.16936456027063831,3.4012077257988294
8.0,0.20185,0.20185,0.2169424417559953,0.21694244175599525,0.20185,0.20185000000000003,0.20185,0.20185,0.1830311014193037,0.18303110141930373,3.3447674525544997
9.0,0.20843333333333333,0.20843333333333333,0.22201000646607033,0.22201000646607033,0.20843333333333333,0.20843333333333333,0.20843333333333333,0.20843333333333333,0.18994915882585944,0.18994915882585942,3.2969996102312775
10.0,0.21686666666666668,0.21686666666666668,0.2352628605561736,0.2352628605561736,0.21686666666666668,0.21686666666666662,0.21686666666666668,0.21686666666666668,0.1989579562811425,0.1989579562811425,3.2638266365578827
11.0,0.2262,0.2262,0.24526273813299265,0.24526273813299274,0.2262,0.2262,0.2262,0.2262,0.2088252168468426,0.2088252168468426,3.2072193457725207
12.0,0.2378,0.2378,0.2536445030264268,0.2536445030264268,0.2378,0.2378,0.2378,0.2378,0.2213221082282552,0.2213221082282552,3.152086692668022
13.0,0.24096666666666663,0.24096666666666663,0.25703595783788813,0.25703595783788813,0.24096666666666663,0.2409666666666667,0.24096666666666663,0.24096666666666663,0.22350158145954552,0.22350158145954557,3.1296051474327733
14.0,0.2501,0.2501,0.2673807737003158,0.2673807737003158,0.2501,0.2501,0.2501,0.2501,0.23648732321221783,0.23648732321221777,3.094180126646732
15.0,0.2596833333333333,0.2596833333333333,0.2759237094464507,0.2759237094464507,0.2596833333333333,0.2596833333333334,0.2596833333333333,0.2596833333333333,0.24456050283024414,0.24456050283024414,3.034934935671218
16.0,0.25605,0.25605,0.2798928931660846,0.2798928931660846,0.25605,0.25605,0.25605,0.25605,0.24184340941180063,0.24184340941180066,3.046848845989146
17.0,0.26981666666666665,0.26981666666666665,0.2835603840624617,0.2835603840624617,0.26981666666666665,0.26981666666666665,0.26981666666666665,0.26981666666666665,0.2543941594468876,0.2543941594468876,2.984921769892916
18.0,0.27336666666666665,0.27336666666666665,0.2945599811472266,0.2945599811472266,0.27336666666666665,0.27336666666666665,0.27336666666666665,0.27336666666666665,0.26031554927796613,0.2603155492779661,2.9804248033685883
19.0,0.281,0.281,0.2972731742072946,0.29727317420729465,0.281,0.28099999999999997,0.281,0.281,0.2682964210594415,0.2682964210594415,2.935134930052656
20.0,0.2788166666666666,0.2788166666666666,0.2974840839566698,0.2974840839566698,0.2788166666666666,0.2788166666666666,0.2788166666666666,0.2788166666666666,0.2649836967633611,0.2649836967633611,2.938408721254227
21.0,0.28746666666666665,0.28746666666666665,0.30774066538751904,0.3077406653875191,0.28746666666666665,0.28746666666666665,0.28746666666666665,0.28746666666666665,0.2763485513653536,0.2763485513653536,2.906839643133447
22.0,0.2884166666666667,0.2884166666666667,0.30005151122937856,0.30005151122937856,0.2884166666666667,0.28841666666666665,0.2884166666666667,0.2884166666666667,0.2747067528891226,0.2747067528891226,2.887110980013584
23.0,0.29305000000000003,0.29305000000000003,0.3133021257938336,0.31330212579383365,0.29305000000000003,0.2930499999999999,0.29305000000000003,0.29305000000000003,0.28227649898424734,0.28227649898424734,2.8742364414194794
24.0,0.29656666666666665,0.29656666666666665,0.30964786364528196,0.309647863645282,0.29656666666666665,0.29656666666666665,0.29656666666666665,0.29656666666666665,0.28441923239458367,0.28441923239458367,2.8660321129129285
25.0,0.29835,0.29835,0.31643131420673615,0.31643131420673615,0.29835,0.29835,0.29835,0.29835,0.2879570741589498,0.2879570741589498,2.844214570268672
26.0,0.29736666666666667,0.29736666666666667,0.32060775382892365,0.3206077538289237,0.29736666666666667,0.29736666666666667,0.29736666666666667,0.29736666666666667,0.2874351538135889,0.2874351538135889,2.859038461269216
27.0,0.3021166666666667,0.3021166666666667,0.32155129336288363,0.32155129336288363,0.3021166666666667,0.3021166666666667,0.3021166666666667,0.3021166666666667,0.28946742978647727,0.2894674297864772,2.8380827069282533
