Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.005931417979610751,0.005931417979610751,0.0011832602179384275,0.001232288588006884,9.722340568841673
1.0,0.006178560395427865,0.006178560395427865,0.001506216359307868,0.001534483071966356,5.28714048909206
2.0,0.007043558850787765,0.007043558850787765,0.0020405178649424887,0.002155082554710144,5.288562093996534
3.0,0.007723200494284832,0.007723200494284832,0.00196506424064587,0.0020960487576402714,5.265709437575994
4.0,0.00871177015755329,0.00871177015755329,0.002140018155921461,0.0022590893311380277,5.268561997133142
5.0,0.008341056533827619,0.008341056533827619,0.0017683814484917247,0.0019011059169915484,5.268157160515878
6.0,0.009267840593141797,0.009267840593141797,0.002736821163166053,0.0029021104519367093,5.26691936231127
7.0,0.008588198949644733,0.008588198949644733,0.002255905850154374,0.0022790516787692997,5.2657138543970445
8.0,0.009576768612913192,0.009576768612913192,0.0026044731332326267,0.002739819776141438,5.268064728905172
9.0,0.009391411801050357,0.009391411801050357,0.0022176338691711874,0.0023629152025054162,5.28678809895235
10.0,0.008897126969416127,0.008897126969416127,0.00213652438455711,0.002291622441625645,5.268825497346766
11.0,0.008897126969416127,0.008897126969416127,0.0022108333257394117,0.0023477068146889987,5.264870222877053
12.0,0.009453197405004634,0.009453197405004634,0.00229866414605608,0.002432071147526578,5.263023555980009
13.0,0.008649984553599012,0.008649984553599012,0.0016981967150016205,0.0018245057344121434,5.269413409513585
14.0,0.009020698177324685,0.009020698177324685,0.0025763626154841116,0.0027371800888223016,5.274123145084755
15.0,0.009329626197096078,0.009329626197096078,0.002598627632640909,0.002755269809582651,5.273208343281465
16.0,0.008649984553599013,0.008649984553599013,0.002118452009014259,0.002313329351743012,5.274633686215269
17.0,0.009514983008958913,0.009514983008958913,0.0024362616115189686,0.002501571972527655,5.274553469115612
18.0,0.008835341365461848,0.008835341365461848,0.0025544462142803133,0.0026264125454894807,5.267038812824324
19.0,0.009514983008958913,0.009514983008958913,0.002195991295243222,0.0023488832913674995,5.272085382424149
20.0,0.00920605498918752,0.00920605498918752,0.0018918767291138782,0.0019273772629519938,5.282979983909457
21.0,0.009391411801050357,0.009391411801050357,0.0018977039893351936,0.0020473722875218965,5.29655117334104
22.0,0.009762125424776027,0.009762125424776027,0.002256552390166115,0.00241996925789742,5.300412847481522
23.0,0.009514983008958913,0.009514983008958913,0.001619133111078448,0.0016842886811627923,5.292107836405436
24.0,0.008958912573370404,0.008958912573370404,0.0015273548688659923,0.0016658819199771736,5.275637587379007
25.0,0.009144269385233241,0.009144269385233241,0.0017622979306966807,0.0018520622859259542,5.284333950865502
26.0,0.008958912573370406,0.008958912573370406,0.0017335285935273412,0.001857494627103023,5.285065791186164
27.0,0.009391411801050357,0.009391411801050357,0.002243428860598268,0.002317021374794671,5.2904207977594115
28.0,0.009514983008958913,0.009514983008958913,0.0020955236469225504,0.0022190386316729106,5.289617302838494
29.0,0.009020698177324683,0.009020698177324683,0.0015561037823472214,0.0016801934945345116,5.295508210799274
30.0,0.009082483781278962,0.009082483781278962,0.002052015891089675,0.002095671437945542,5.304300431644215
31.0,0.009329626197096078,0.009329626197096078,0.0023338023490865013,0.0024540201477530068,5.296693422280106
32.0,0.009206054989187518,0.009206054989187518,0.0021626052821909388,0.002286966798355079,5.314276498906752
33.0,0.01007105344454742,0.01007105344454742,0.0026343141076464924,0.0026848615118925355,5.2872593337414315
34.0,0.009267840593141799,0.009267840593141799,0.0022206387744515372,0.0022626704869890325,5.300186768700095
