Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.005746061167747915,0.005746061167747915,0.0003680028273283206,0.00037423324901985787,5.279546079448625
1.0,0.007414272474513439,0.007414272474513439,0.00017538558620513027,0.0002157312915548387,5.2777418903276025
2.0,0.00790855730614767,0.007908557306147668,0.00020029148372609982,0.00024169987171677068,5.276967794754926
3.0,0.008402842137781898,0.008402842137781898,8.553337659951145e-05,0.00014089794976983593,5.2762412407818955
4.0,0.008402842137781898,0.008402842137781898,0.00018708960733628755,0.0002414191597027256,5.276688381269866
5.0,0.008402842137781898,0.008402842137781898,8.59268321566643e-05,0.00014153923003044469,5.277659408718932
6.0,0.008402842137781898,0.008402842137781898,8.556185120525471e-05,0.00014094026511302354,5.276440958883248
7.0,0.008402842137781898,0.008402842137781898,8.560971803980538e-05,0.00014101852006774773,5.2788086461085895
8.0,0.008402842137781898,0.008402842137781898,8.566276907420713e-05,0.00014110525039646383,5.277963976766549
9.0,0.008402842137781898,0.008402842137781898,8.534225088919868e-05,0.00014058125217741388,5.277479635500441
10.0,0.008402842137781898,0.008402842137781898,8.587684894881355e-05,0.00014145523825448585,5.281176453010708
11.0,0.008402842137781898,0.008402842137781898,8.566323374009034e-05,0.0001411060100541265,5.280289365731034
12.0,0.008402842137781898,0.008402842137781898,8.551664953406305e-05,0.00014086636729283627,5.281257483538459
13.0,0.008402842137781898,0.008402842137781898,8.610670606354107e-05,0.0001418310194874602,5.286123309415929
14.0,0.008341056533827617,0.008341056533827617,8.609286798941252e-05,0.0001418083963523696,5.293157611173742
15.0,0.008402842137781898,0.008402842137781898,0.00010402454670163832,0.0001614531587617029,5.285108760758943
16.0,0.008464627741736177,0.008464627741736177,0.00011042431627688506,0.00016818730594810675,5.284678053388408
17.0,0.008402842137781898,0.008402842137781898,0.00010051095958915949,0.00015732077949235165,5.289821794921276
18.0,0.008464627741736177,0.008464627741736177,0.00010542532324842855,0.00016292210938288228,5.288544219147925
19.0,0.008526413345690455,0.008526413345690455,0.00012524107500721068,0.0001845541373817489,5.288001604641185
20.0,0.008402842137781898,0.008402842137781898,8.575832398191576e-05,0.00014126146805837117,5.286136099871467
21.0,0.008402842137781898,0.008402842137781898,8.603709932403943e-05,0.00014171722311259375,5.29089428770776
22.0,0.008402842137781898,0.008402842137781898,8.562011071021526e-05,0.00014103551049462728,5.2855828547010235
23.0,0.008402842137781898,0.008402842137781898,8.571733876815458e-05,0.00014119446350130472,5.28292454177258
24.0,0.008464627741736177,0.008464627741736177,0.00013529046335555357,0.00019209962250864464,5.286746939490824
25.0,0.008402842137781898,0.008402842137781898,8.589974344174901e-05,0.00014149266724942385,5.290255400713752
26.0,0.008464627741736177,0.008464627741736177,0.00014101675803861213,0.0001982029338970889,5.295669452816833
27.0,0.008402842137781898,0.008402842137781898,8.567424113985695e-05,0.00014112400546950027,5.2862325481340005
28.0,0.008464627741736177,0.008464627741736177,0.00010523955704673574,0.00016261841005036498,5.293839690264534
29.0,0.008402842137781898,0.008402842137781898,0.00010369208660275986,0.00016065059831683572,5.29306209788603
30.0,0.008402842137781898,0.008402842137781898,8.588087100075722e-05,0.00014146181369436406,5.294769524592979
31.0,0.008588198949644733,0.008588198949644733,0.00015357052153977378,0.000215464125757568,5.297003214967018
32.0,0.008464627741736177,0.008464627741736177,0.00010309059659081537,0.00016040583646448618,5.298506020564659
33.0,0.008402842137781898,0.008402842137781898,0.00010270693896698486,0.00015970202119429505,5.301289122712378
34.0,0.008464627741736177,0.008464627741736177,0.00011295406102989132,0.00017304836933493766,5.30251589382396
35.0,0.008402842137781898,0.008402842137781898,8.563056909361502e-05,0.0001410526083521965,5.291676631628298
36.0,0.008402842137781898,0.008402842137781898,8.640421611127793e-05,0.00014231740292046095,5.305276165756524
37.0,0.008526413345690455,0.008526413345690455,0.00023206540979994134,0.00030101254652798327,5.303831536162134
38.0,0.008464627741736177,0.008464627741736177,0.0001336686784121442,0.00019346911127718935,5.303675975051581
39.0,0.008402842137781898,0.008402842137781898,8.596333699956771e-05,0.00014159663299177067,5.307317277496937
40.0,0.008464627741736177,0.008464627741736177,0.00012913984766332347,0.00018852105367504047,5.299149277630975
41.0,0.008464627741736177,0.008464627741736177,0.00013319161565475505,0.00019294390528423066,5.307854295244405
42.0,0.008402842137781898,0.008402842137781898,0.0001052634089837451,0.00016235181514487145,5.307709598541259
43.0,0.008464627741736177,0.008464627741736177,0.00010418035920663053,0.0001615367239525771,5.301843065374038
44.0,0.008402842137781898,0.008402842137781898,8.58971663287312e-05,0.00014148845406373027,5.312049878812305
45.0,0.008464627741736177,0.008464627741736177,0.00010783444819150363,0.00016552126941046065,5.310448706383799
46.0,0.008464627741736177,0.008464627741736177,0.00012385380368142793,0.0001828850722993435,5.315368730881635
47.0,0.008526413345690455,0.008526413345690455,0.0001848975146810097,0.00024782405830931083,5.323840835047703
48.0,0.008464627741736177,0.008464627741736177,0.00012875826776463954,0.00018839019913596597,5.297984229817109
49.0,0.008526413345690455,0.008526413345690455,0.00017480853895665376,0.00023521551071996596,5.310420604780608
50.0,0.008526413345690455,0.008526413345690455,0.00023528693222302062,0.0002813327247682327,5.3121818766874425
51.0,0.008649984553599012,0.008649984553599012,0.0004129538028914895,0.0004712624418800001,5.319605909609327
52.0,0.008526413345690455,0.008526413345690455,0.00026558218557581903,0.0003189683102077344,5.32416000366211
53.0,0.008464627741736177,0.008464627741736177,0.00014588618085914766,0.00020130177227466943,5.326190840029248
54.0,0.008464627741736175,0.008464627741736175,0.00022019110971086253,0.0002718523392056289,5.308203435411641
55.0,0.008588198949644733,0.008588198949644733,0.00030275921786993747,0.0003662732026478496,5.319165729073918
56.0,0.008649984553599012,0.008649984553599012,0.00035463453934761474,0.0004211352925185769,5.341166268142999
57.0,0.008588198949644733,0.008588198949644733,0.0003300768518253643,0.0003955549218652137,5.328658042234533
58.0,0.008649984553599012,0.008649984553599012,0.00031159091011672335,0.00036916358481219166,5.310823242337096
59.0,0.008588198949644733,0.008588198949644733,0.0002834396529315982,0.0003393476799053371,5.325385570526123
60.0,0.008526413345690455,0.008526413345690455,0.00020905276782063486,0.00025756489616912237,5.323451924791523
61.0,0.008588198949644733,0.008588198949644733,0.0003785768592797182,0.00043948880943897047,5.33411174100988
62.0,0.00877355576150757,0.00877355576150757,0.00042387390747175905,0.0004597248276695446,5.332203567729276
63.0,0.00871177015755329,0.00871177015755329,0.00041088257311118275,0.00047577480982704943,5.307770175559848
64.0,0.00871177015755329,0.00871177015755329,0.0006155323657098142,0.0006712896388557809,5.336087086621452
65.0,0.00877355576150757,0.00877355576150757,0.00047429845754978685,0.0005241963513669921,5.325852223938587
66.0,0.008897126969416125,0.008897126969416125,0.0007425979601851976,0.000814443906350911,5.335293975530886
67.0,0.008588198949644733,0.008588198949644733,0.00048397653764913946,0.0005294591637556047,5.360321781682034
68.0,0.00871177015755329,0.00871177015755329,0.00047160806365503,0.0005131210724565657,5.346048409331078
69.0,0.008464627741736175,0.008464627741736175,0.00037401970585994684,0.0004103767883308672,5.32828722000122
70.0,0.008649984553599012,0.008649984553599012,0.00044721750153020124,0.0004929816042788997,5.353289005803127
71.0,0.008588198949644733,0.008588198949644733,0.0005198074145590604,0.0005653412317350093,5.343204728294822
72.0,0.008649984553599012,0.008649984553599012,0.0006816547572243206,0.0007267623834339148,5.334918872982848
73.0,0.009267840593141799,0.009267840593141799,0.0008722377896830232,0.0009364137866486419,5.348602130366306
74.0,0.009453197405004634,0.009453197405004634,0.0007771227286455186,0.0008493342991410472,5.344021784090528
75.0,0.009082483781278962,0.009082483781278962,0.0008193665268963661,0.0008842198769811191,5.351429436253566
76.0,0.00877355576150757,0.00877355576150757,0.0006671154259808812,0.0007229861910026691,5.3381419237922225
77.0,0.009267840593141799,0.009267840593141799,0.0008789938261246494,0.0009550446461884177,5.338680235544841
78.0,0.00963855421686747,0.00963855421686747,0.0007703756478891752,0.0008307322534570332,5.335527543460621
79.0,0.00963855421686747,0.00963855421686747,0.0008383766295248643,0.0009086931673345569,5.335196489446303
80.0,0.009576768612913192,0.009576768612913192,0.000907274765442511,0.0009858938159402072,5.324544695311902
81.0,0.009206054989187518,0.009206054989187518,0.000916508850162864,0.0009695222634738257,5.3379291179133395
82.0,0.009576768612913192,0.009576768612913192,0.0010525817037751435,0.001130252850193041,5.312677792941822
83.0,0.009391411801050357,0.009391411801050357,0.0009406501093481179,0.000978055094194226,5.332947104584937
84.0,0.009885696632684585,0.009885696632684585,0.0012881253110517568,0.0013418361682705465,5.333888672847374
85.0,0.009576768612913192,0.009576768612913192,0.001162548511814835,0.0012268065158316085,5.351510513530059
86.0,0.009267840593141797,0.009267840593141797,0.0010165880621104929,0.001084934593128697,5.335297494776109
87.0,0.010009267840593142,0.010009267840593142,0.001468903087962482,0.0015687633519322294,5.345851864534266
88.0,0.009267840593141799,0.009267840593141799,0.0010971764778864037,0.0011731282518298205,5.35594544691198
89.0,0.009762125424776027,0.009762125424776027,0.001227334662630754,0.0013024773137263975,5.3294479426215675
90.0,0.01019462465245598,0.01019462465245598,0.0013640600431962917,0.0014254111115947973,5.329259642432718
91.0,0.010256410256410256,0.010256410256410256,0.001419075144778267,0.0015157350032287363,5.341456931245093
92.0,0.009391411801050355,0.009391411801050355,0.0014754788548826852,0.0015450924282843493,5.356652276656207
93.0,0.01007105344454742,0.01007105344454742,0.0015615014149295212,0.0016107843724567136,5.346331327101764
94.0,0.010132839048501699,0.010132839048501699,0.0012876962848495435,0.0013544816470021748,5.337209873573452
95.0,0.00970033982082175,0.00970033982082175,0.0019101594092651032,0.0019788379743124625,5.3553616729437135
96.0,0.010132839048501699,0.010132839048501699,0.0017887722250054955,0.001874431459790151,5.368594257504332
97.0,0.010318195860364535,0.010318195860364535,0.0017522658337295965,0.0018167233407644207,5.339099195891736
98.0,0.009453197405004634,0.009453197405004634,0.001615519604191689,0.0016903742010576238,5.354911710701737
99.0,0.010194624652455977,0.010194624652455977,0.0015105227887479192,0.0015844570116743256,5.336998649671966
