Epoch,Accuracy,F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.010812480691998763,0.010812480691998763,0.00033379924113287795,0.0004124493770961945,5.258221944173177
1.0,0.013716404077849862,0.013716404077849862,0.0011775255563777273,0.0012461642940315661,5.221584873573454
2.0,0.014519616929255482,0.014519616929255482,0.0026235021862741795,0.0026911128281120475,5.208143769058527
3.0,0.015261044176706828,0.015261044176706828,0.0034129172768449533,0.003482491487146257,5.199116181392296
4.0,0.016805684275563792,0.016805684275563792,0.0037509124126662596,0.003833811652922766,5.189783245909448
5.0,0.018041396354649367,0.018041396354649367,0.004696000565539004,0.004818275351486989,5.18461716969808
6.0,0.01797961075069509,0.01797961075069509,0.004697418308625385,0.0048153667639664974,5.179520182516061
7.0,0.01964782205746061,0.01964782205746061,0.006057048069345764,0.006201514638561005,5.175802139207429
8.0,0.019833178869323446,0.019833178869323446,0.00652313773738904,0.0066809576856064826,5.172515137990315
9.0,0.020883534136546183,0.020883534136546183,0.006908330464552309,0.007035935890067124,5.167956359713686
10.0,0.02143960457213469,0.02143960457213469,0.007724540540238817,0.007838543329567977,5.165410913205615
11.0,0.021254247760271856,0.021254247760271856,0.008388249253457453,0.008566370496436566,5.161272351882037
12.0,0.022366388631448873,0.022366388631448873,0.008534404268406825,0.008718226142896463,5.1578751564025875
13.0,0.022242817423540315,0.022242817423540315,0.009427958860579106,0.00952962110323867,5.158420123305976
14.0,0.021748532591906084,0.021748532591906084,0.008907504224654268,0.009060755744840915,5.161234625648049
15.0,0.02323138708680877,0.02323138708680877,0.00992437783206207,0.009990359127279322,5.159651170992385
16.0,0.023911028730305837,0.023911028730305837,0.010605647920141913,0.010711785420737818,5.159410235461066
17.0,0.022737102255174543,0.022737102255174543,0.010044875458240066,0.010057951442226081,5.165263925814161
18.0,0.024281742354031514,0.024281742354031514,0.011049767475684601,0.011140108795611297,5.16202626134835
19.0,0.024837812789620016,0.024837812789620016,0.011517627335088704,0.011597993569631548,5.161818472544352
20.0,0.024776027185665742,0.02477602718566574,0.01147078876448701,0.011471095651776658,5.1616577840318865
21.0,0.024899598393574297,0.024899598393574297,0.011761188064346407,0.01169011281516132,5.1651073698904
22.0,0.024528884769848623,0.024528884769848623,0.012032526889484987,0.012069458820409383,5.16916343090581
23.0,0.024528884769848623,0.024528884769848623,0.011408814029265893,0.011451663506763693,5.17374158186071
24.0,0.025949953660797036,0.025949953660797036,0.013154484938163392,0.013179202056182152,5.165523962881051
25.0,0.024961383997528577,0.024961383997528574,0.013237924694501033,0.013261695712809968,5.173277746462355
26.0,0.026073524868705594,0.026073524868705587,0.013309800747801633,0.013364245406227795,5.1681783189960555
27.0,0.025270312017299974,0.025270312017299967,0.0141893594868692,0.014190229030605465,5.178420467002719
28.0,0.025702811244979917,0.025702811244979917,0.013582820317331734,0.013667536124234575,5.176203011531455
29.0,0.02669138090824838,0.026691380908248373,0.013596155210514303,0.013673862528278725,5.180616216098561
30.0,0.026382452888476987,0.026382452888476987,0.014070440236719495,0.014015712263588881,5.18418690363566
31.0,0.0257645968489342,0.0257645968489342,0.013765302396530382,0.013823882648389093,5.185422790751738
32.0,0.02625888168056843,0.026258881680568426,0.013415052235732153,0.013456025850452469,5.189432570513556
33.0,0.027185665739882608,0.027185665739882608,0.014301547957492323,0.014251482768774637,5.19379348006903
34.0,0.026444238492431264,0.026444238492431264,0.014551475777888212,0.014597643374355323,5.194298400130927
35.0,0.02557924003707136,0.02557924003707136,0.014015231770801542,0.013980709253611789,5.205028971503763
36.0,0.027803521779425393,0.027803521779425393,0.014935433718694852,0.014895082464844871,5.196815279418347
37.0,0.02817423540315107,0.02817423540315107,0.01539115061995976,0.015349831528377877,5.201067711325252
38.0,0.02669138090824838,0.02669138090824838,0.014866891582289621,0.014832777228245869,5.209449668959075
39.0,0.025702811244979924,0.025702811244979924,0.014949687166735347,0.014911465336565843,5.211962595172958
40.0,0.02632066728452271,0.02632066728452271,0.015695635119547496,0.015726652056101575,5.211306775784959
41.0,0.026506024096385545,0.026506024096385545,0.016387287437339478,0.016346515108074545,5.217760372161865
42.0,0.02613531047265987,0.02613531047265987,0.016018846621080544,0.016032035081136264,5.218146053015017
43.0,0.02582638245288848,0.025826382452888475,0.015635301287946015,0.015614748643408675,5.2231460870481
44.0,0.02632066728452271,0.02632066728452271,0.015274224729089,0.015280940542117132,5.228041340323055
45.0,0.02848316342292246,0.02848316342292246,0.01644694232339066,0.016343004437173576,5.229416275024414
46.0,0.02724745134383689,0.02724745134383689,0.01584741539520909,0.0158317465718991,5.236281421137791
47.0,0.028174235403151067,0.028174235403151067,0.017092826818745053,0.01709129260947991,5.236769939871396
48.0,0.02545566882916281,0.02545566882916281,0.015891365735694944,0.015867332953436043,5.243949757370293
49.0,0.02545566882916281,0.02545566882916281,0.01547931869908697,0.015476176416524833,5.243165436912986
50.0,0.026073524868705587,0.026073524868705587,0.01618230362213869,0.0161763306493713,5.251652367909751
51.0,0.025023169601482854,0.025023169601482854,0.016541099262274612,0.01645281648898737,5.256256974912157
52.0,0.026567809700339822,0.02656780970033982,0.016986980135054865,0.01686558549966139,5.259180244744993
53.0,0.027432808155699723,0.027432808155699723,0.01731070230598212,0.017190770760828075,5.254026964599011
54.0,0.026444238492431264,0.026444238492431264,0.016037755458434805,0.016070053573821935,5.2655904283710555
