model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,precision micro,precision macro,precision weighted,recall micro,recall macro,recall weighted,micro,macro,weighted,avg. loss,training time,loading time
GCN,3,-,,75,-,RAG,SLIC0,avg_color,115.68592,0.8636629861236383,607.8956,5.834612295602853,"33, 44, 23, 16, 28","33, 48, 23, 18, 28",0.16048333333333334,0.16048333333333334,0.15797744851281656,0.15797744851281662,0.16048333333333334,0.16048333333333334,0.16048333333333334,0.16048333333333334,0.1369412717316945,0.13694127173169454,3.5524739148768973,243.11967940330504,8.059376239776611
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid,115.68592,0.8636629861236383,607.8956,5.834612295602853,"93, 87, 99, 99, 66","99, 87, 99, 99, 68",0.23368333333333333,0.23368333333333333,0.23959340984651756,0.2395934098465176,0.23368333333333333,0.23368333333333333,0.23368333333333333,0.23368333333333333,0.21761161383374525,0.21761161383374525,3.1471687585749524,726.943496465683,7.611830472946167
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_color,115.68592,0.8636629861236383,607.8956,5.834612295602853,"93, 91, 96, 98, 53","99, 99, 99, 99, 59",0.2879333333333333,0.2879333333333333,0.2952960666198995,0.2952960666198995,0.2879333333333333,0.2879333333333333,0.2879333333333333,0.2879333333333333,0.2747679457384307,0.2747679457384307,2.8820250480733023,740.10333776474,8.113357305526733
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid num_pixels std_deviation_color,115.68592,0.8636629861236383,607.8956,5.834612295602853,"59, 93, 76, 97, 95","62, 99, 79, 99, 99",0.27413333333333334,0.27413333333333334,0.2849809544495056,0.2849809544495056,0.27413333333333334,0.27413333333333334,0.27413333333333334,0.27413333333333334,0.25826875777256914,0.25826875777256914,2.9407283559758612,694.2958704948426,7.731861114501953
GCN,3,-,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.68592,0.8636629861236383,607.8956,5.834612295602853,"98, 98, 50, 74, 34","99, 99, 56, 80, 36",0.2812,0.2812,0.29003985723740994,0.29003985723740994,0.2812,0.2812,0.2812,0.2812,0.2666810227594175,0.2666810227594175,2.9146932731283473,603.5016930580139,8.807638883590698
GCN,3,-,,75,-,RAG,SLIC0,avg_color avg_color_hsv centroid std_deviation_centroid std_deviation_color,115.68592,0.8636629861236383,607.8956,5.834612295602853,"94, 99, 94, 97, 94","99, 99, 99, 99, 99",0.30645,0.30645,0.310610873750023,0.31061087375002294,0.30645,0.30645,0.30645,0.30645,0.2929968373796502,0.2929968373796502,2.7812700631770677,808.4332510948182,8.12977385520935
GCN,3,-,,75,-,RAG,SLIC0,avg_color avg_color_hsv centroid std_deviation_centroid std_deviation_color std_deviation_color_hsv,115.68592,0.8636629861236383,607.8956,5.834612295602853,"79, 59, 96, 96, 91","85, 59, 99, 96, 99",0.3063166666666667,0.3063166666666667,0.31842666519188734,0.31842666519188734,0.3063166666666667,0.3063166666666667,0.3063166666666667,0.3063166666666667,0.2941531942545207,0.2941531942545207,2.77865602995487,702.8002462863922,8.22782826423645
