model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GAT,1,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"98, 95, 98, 97, 93","99, 99, 99, 99, 99",0.8716285714285714,,0.8731868715840523,,0.8748855089383559,,0.8764216994086501,,0.873057230316119,,0.8716287155948341,,0.873057230316119,,0.8731219434715101,0.011197194010925058,0.8718520374162761,0.011547665777175984,0.873343537097821,0.01133739354235094,0.8704912527313546,0.01536103478138357,0.8691124080336168,0.01573093227731857,0.8707250774421074,0.015452894207669418,0.8713073387330382,0.011057896911462152,0.8699656222541483,0.011416185138802938,0.8714788985634921,0.011225671541599392,0.4065977542231617,0.03685345175529896,0.411602151224559,0.04559254482711829,0.40866799727460457,0.034273867652538655,1155.2283726692199,,17.200061321258545,
GAT,2,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"91, 94, 91, 84, 95","99, 99, 99, 99, 99",0.9656142857142858,,0.9658381047880372,,0.9658671929423281,,0.9660886535418867,,0.9659476859706724,,0.9656153115384228,,0.9659476859706724,,0.9658928708381994,0.003846334207311147,0.9655932663954516,0.0038659115539020888,0.965873165616982,0.003856467425436159,0.9572909561671159,0.0010467370083598548,0.9570383458687066,0.0011720059033634893,0.9573233333208101,0.0010062093210643985,0.9678732357327388,0.002928375231818487,0.9676202017741126,0.002986439702325024,0.9678663512520165,0.002951845632350681,0.10716934982797802,0.012268932532658396,0.13845712779597802,0.007682020027128958,0.09950557846167044,0.00788437907864511,1393.751369380951,,7.958513021469116,
GAT,3,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"50, 45, 56, 51, 80","99, 99, 77, 99, 99",0.9760714285714286,,0.9761451761651735,,0.9761245436974502,,0.9761966267436162,,0.9763235384761332,,0.9760715792578015,,0.9763235384761332,,0.9762343483695888,0.0023540013699501297,0.9760509312790038,0.0023823979023399945,0.9762131972061511,0.002359823069581964,0.9671112699065227,0.0022237978594290895,0.9667008154393153,0.002249822593378238,0.9670632982724868,0.0022223826358832273,0.9794790911258362,0.003024167512478609,0.9793372055038005,0.0030612100893965396,0.9794664558875802,0.003020228149799525,0.07582471088450997,0.010877308292382702,0.10955776689119046,0.011256686781205713,0.06256357135269187,0.008244726895805536,1581.321343421936,,8.254740715026855,
GAT,4,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"45, 40, 27, 54, 48","99, 99, 99, 99, 99",0.9775142857142857,,0.9775679564381055,,0.9776053172906425,,0.9776556646624494,,0.9777747921444184,,0.9775150555249889,,0.9777747921444184,,0.9776713614670871,0.003548940956363869,0.9775137494267442,0.0036027275316870117,0.9776706065241278,0.0035550639440940996,0.9681864404074737,0.002990661066152067,0.9679421779722007,0.0029362496561607288,0.9681914798905511,0.0029748023793746106,0.9813880319908662,0.0035930225672896983,0.981234619782032,0.0036287455043865404,0.9813918048435184,0.0035976393049578464,0.06826695564264627,0.012562136593852304,0.10322258483713746,0.012899103538449572,0.05547408846630668,0.011850030914762864,1920.1361419677735,,8.565585136413574,
GAT,5,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"52, 42, 44, 59, 42","99, 99, 99, 99, 99",0.9802428571428571,,0.9804249151861676,,0.9803545511848022,,0.9805353722764231,,0.9804032475255106,,0.9802427922626826,,0.9804032475255106,,0.9804140775853469,0.007135084883114518,0.9802421704510726,0.007220901637864735,0.9804131601302031,0.007131084016441494,0.9665236924278509,0.003569765123161914,0.9662729012951156,0.003566386475527457,0.9665106322830781,0.0035751895666197983,0.9846524830843981,0.002729381379042429,0.9845460883946565,0.002744863532567209,0.9846473587748102,0.0027349237766008515,0.060567614372466695,0.026237345757759305,0.11484825176170985,0.012063723142052616,0.044605766172384306,0.008126547726045081,2190.952514886856,,8.551404237747192,
GAT,1,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"89, 45, 76, 68, 49","90, 47, 78, 74, 55",0.8403714285714287,,0.8419116367353189,,0.8442822213684249,,0.8458005067841651,,0.842819359970729,,0.840372726677414,,0.842819359970729,,0.8423646042006206,0.01790728343305538,0.8400993211673653,0.018706628877486482,0.8421176620497276,0.018394111835383132,0.8441122474756211,0.01581851250642944,0.8423435245583762,0.015912088960958366,0.8441816151756312,0.016136571183918952,0.8408297797791867,0.017594936482418777,0.8384519650892084,0.01833262302430837,0.840557718279406,0.018104389498117445,0.4914614540120782,0.04857849464282693,0.4896775097670881,0.048387321521914585,0.49813813615571423,0.04797698437215082,820.3018312454224,,7.987343788146973,
GAT,2,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"54, 25, 28, 35, 36","55, 31, 34, 41, 42",0.9507285714285715,,0.951234646990476,,0.9514534678320515,,0.9519459172399024,,0.9509113909831527,,0.9507290091825796,,0.9509113909831527,,0.9510729532555986,0.008567643125768281,0.9508424538140687,0.00849742556503137,0.9511838523647358,0.008359835451713859,0.9454082317845032,0.007402955817910221,0.9451175924399294,0.007396752937360329,0.9454558228142977,0.007352301893998216,0.95188962070614,0.00845405295617956,0.9516153473867208,0.008392821508755591,0.9519646248995212,0.008321495436275821,0.1554425418955278,0.026668588021603636,0.17580333421514793,0.022670020271323105,0.15216988277300095,0.02727780525764446,605.5755421161651,,8.451961517333984,
GAT,3,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"23, 37, 24, 33, 34","29, 43, 30, 39, 40",0.965642857142857,,0.9660001392710278,,0.9658776563250887,,0.9662336163549995,,0.9659127662706123,,0.9656427583399715,,0.9659127662706123,,0.9659564161400495,0.006216225637720044,0.9656111413420566,0.00631141333813326,0.9659265692524169,0.006281318886967331,0.9580528892673454,0.006728460295385836,0.9577305561567886,0.006739904812170985,0.9580174815090687,0.006786934264801052,0.9664049572183611,0.005382972617682291,0.9661189387168218,0.005501861415001683,0.9663878512850607,0.005424578698467781,0.10647108666258587,0.016794387402201957,0.13190253885484046,0.0144377412572909,0.10303217487795005,0.017346778069382597,643.4186279773712,,8.67672085762024,
GAT,4,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"25, 15, 12, 38, 15","31, 21, 18, 44, 21",0.9681285714285714,,0.9683953056297352,,0.9683185705257218,,0.9685878338631945,,0.9682836935605309,,0.9681285365738586,,0.9682836935605309,,0.9683394880734666,0.006513860884276877,0.9681226969775583,0.006575338453462401,0.9683350335570028,0.0065035422699192295,0.9623325084138861,0.004080289562369493,0.962036009038095,0.0041038659129492205,0.9623141346267954,0.004066777801199742,0.9691595226573565,0.006506886944522269,0.9689537110280682,0.006535559723699491,0.969150823931343,0.006499598671900405,0.09905102242732668,0.020446746125085524,0.1234217177346264,0.012377834704910181,0.09538069268142531,0.02028404116050252,548.7096982002258,,8.989988327026367,
GAT,5,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"11, 15, 21, 33, 29","17, 21, 27, 35, 35",0.9675285714285714,,0.9677275232045931,,0.9677303027522107,,0.9679283861383012,,0.96775941103385,,0.9675283271331019,,0.96775941103385,,0.9677434622942958,0.003575809421256247,0.9675192217112283,0.003600920619647602,0.9677337859153962,0.003578465013336439,0.9603891776243003,0.0034055002276069937,0.9600500601927349,0.0034313169842453525,0.960377820752522,0.0033782584546718534,0.9698820069988807,0.0053122232255661496,0.9696782030221678,0.005353908405241273,0.9698799641670239,0.005310874813300351,0.1019357865884662,0.009764408019438951,0.12711622796698727,0.008379771513900057,0.09230822096803334,0.016500803833703906,625.4744478702545,,8.819609642028809,
GAT,1,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"51, 64, 57, 31, 57","57, 70, 63, 37, 63",0.841057142857143,,0.8429005574009055,,0.8439692633263286,,0.8457638272776663,,0.8430073333450043,,0.8410563628028418,,0.8430073333450043,,0.8429538289894524,0.013739822506361974,0.8411261770374419,0.01430619491769663,0.8430084036490779,0.013993025834219896,0.8425669602698378,0.01627811299606074,0.8407065860650261,0.016572685359173053,0.8425697010587572,0.0166952658722319,0.8417726588066456,0.01417384377602956,0.8397455976201427,0.014747511245049182,0.8417326603194668,0.014378850240321945,0.4976547478268681,0.041404034094486716,0.5038386755707588,0.04393535315055811,0.502273852211721,0.044147708658257435,687.7323331356049,,8.081756114959717,
GAT,2,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"51, 30, 30, 30, 47","57, 36, 36, 36, 53",0.9548,,0.9552513859208369,,0.9550870910977667,,0.9555383281584007,,0.955038265404554,,0.9547998988565414,,0.955038265404554,,0.9551448061821051,0.005988992556911271,0.9547480046183706,0.006060160221855455,0.9550940814706614,0.006020597073691077,0.949363270794892,0.004360814842354938,0.9488442948166445,0.004522250314626695,0.9493029902475474,0.004417470199945195,0.9562581697006763,0.003983197340137642,0.9558488774697723,0.004058007920542156,0.9562036482970132,0.004012181985319907,0.14212160981068872,0.017893749366959075,0.16414356905628336,0.013717777529239968,0.13937891062708374,0.013678540401069228,647.714151763916,,8.283644914627075,
GAT,3,2,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,80.73123333333334,0.6240708925185415,402.21683333333334,7.359681830003854,"27, 18, 24, 21, 38","33, 24, 25, 27, 38",0.9625714285714286,,0.9627058845895953,,0.9630336132461593,,0.9631680041293007,,0.9628889642177928,,0.9625714866480548,,0.9628889642177928,,0.9627974007221711,0.0058167218303583346,0.9625850982555788,0.00585695376093897,0.9628114304777879,0.005777887712604215,0.9546225713719206,0.006806319385432278,0.954323603772053,0.006854802986334615,0.9546382942552187,0.006797485282974886,0.9647185887236491,0.005744876627993129,0.9645377609363678,0.0058145857049884935,0.9647332073368725,0.005726617190710773,0.11691665629469303,0.01925357464858939,0.14157253596931696,0.018109684873374755,0.1097697076312063,0.01960505033195764,521.1435905456543,,8.492467641830444,
