Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.8871142857142857,0.8877478879422803,0.8875815725665342,0.8881986196003615,0.8887276988821112,0.8871147473229606,0.8887276988821112,0.8882374930746246,0.8868372430566186,0.8879614358307037,0.390097060030726
1.0,0.9040142857142858,0.9049634774604952,0.9048936573998045,0.9058088101565025,0.905209871624943,0.9040139420458353,0.905209871624943,0.9050866301948,0.9040372875268361,0.9051042711771888,0.330547120092122
2.0,0.9118428571428572,0.9124488468289623,0.9120047472747121,0.9125999527612401,0.9130760904342841,0.9118431489226341,0.9130760904342841,0.912762335673545,0.911626422168353,0.9125405062630387,0.30170740813833397
3.0,0.9183999999999999,0.9189791937781837,0.9190172243178448,0.9195710063283219,0.919441178492208,0.9184001434149469,0.919441178492208,0.9192100821279355,0.9183169347212707,0.9191208358961023,0.28027657858993366
4.0,0.9269285714285713,0.9274501377632213,0.9272309149351841,0.9277418305470098,0.9277498300744117,0.926929062398594,0.9277498300744117,0.927599939386365,0.9268354266291661,0.92750237139497,0.2542623492136394
5.0,0.9348428571428572,0.9351106182464038,0.9349036435109292,0.9351634132512231,0.9356146277592112,0.9348432932669691,0.9356146277592112,0.9353625265585574,0.9347241441031511,0.9352392295565399,0.2271241489474632
6.0,0.9423285714285715,0.9425841540712072,0.9424575217492717,0.9427034789448289,0.9429039321552324,0.9423288354721537,0.9429039321552324,0.9427440034810939,0.9422555895607998,0.9426667853914898,0.20208281255305902
7.0,0.9498,0.9499218576964653,0.9499666557101609,0.9500810667698577,0.95030695783951,0.9498004440886877,0.95030695783951,0.9501143499916604,0.9497627825380157,0.9500751646955493,0.17633982773819198
8.0,0.9563714285714285,0.9564417173614995,0.9564701259068699,0.9565360216382126,0.9567005523517447,0.9563721219630208,0.9567005523517447,0.9565711055030496,0.9563494993624218,0.9565466391819646,0.15469227023762927
9.0,0.9617142857142857,0.9617584087361681,0.9617574656296677,0.9618004706073082,0.9619814630211934,0.9617146447785844,0.9619814630211934,0.9618699175807981,0.961683080107193,0.9618374352893643,0.13669250758373303
10.0,0.9649571428571428,0.9650242066957221,0.9650414790971608,0.9651084251422581,0.9651738024279869,0.9649575979954628,0.9651738024279869,0.9650989828743451,0.9649319821212753,0.965073589746587,0.12382192967723223
11.0,0.9675428571428573,0.9674749794706822,0.9676328424018271,0.9675648818758441,0.967808910128996,0.9675429966116142,0.967808910128996,0.9676419037179862,0.9675206592454092,0.9676189316441501,0.11158083084987722
12.0,0.9704142857142857,0.9704169129822638,0.9705037706297766,0.9705032054912974,0.9706423233469877,0.9704140810287221,0.9706423233469877,0.9705295983144401,0.9704077979236256,0.9705220557602539,0.10249373119358467
13.0,0.9728,0.9728317883428342,0.9728644542049508,0.9728957305543924,0.9729706294292353,0.9728003557929858,0.9729706294292353,0.9729011973253587,0.9727723318022585,0.972873232087613,0.09511955517799206
14.0,0.9744999999999999,0.974647874048997,0.9745590892243989,0.9747058545108317,0.9745683716693578,0.9745002266611682,0.9745683716693578,0.9746081114576512,0.974500134871526,0.9746080235512793,0.08861395656662785
15.0,0.9756142857142857,0.9756311280358758,0.9756783784515581,0.9756937567916282,0.9757827113153267,0.975614303622087,0.9757827113153267,0.9757069110761336,0.9756093022638439,0.9757013362430854,0.08418601511735213
16.0,0.9770714285714286,0.9771089658386627,0.9771037704238739,0.9771406518992899,0.9772162133426994,0.9770715913705255,0.9772162133426994,0.9771625778871664,0.9770587363732115,0.977149222681273,0.07952940790875726
17.0,0.9776428571428571,0.9776998988572029,0.9777003572755026,0.9777568163764206,0.9777789247917983,0.9776429826762177,0.9777789247917983,0.9777394006059048,0.9776418922069331,0.9777380307889295,0.07606567958067915
18.0,0.9784,0.9784375549035088,0.9784726845800982,0.9785080360794064,0.9785637431071432,0.978400055134529,0.9785637431071432,0.9785006390984045,0.9784037303178639,0.9785037376676018,0.07374932691072153
19.0,0.9790857142857143,0.9791575576443684,0.9791074449325622,0.9791789604605394,0.9792124405789886,0.9790860205660928,0.9792124405789886,0.9791849950637641,0.9790750780777702,0.9791741649232689,0.07059064079841523
