epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),loss,validation loss
0.0,0.6202,0.6202,0.625631222629717,0.625631222629717,0.6202,0.6202,0.6202,0.6202,0.6021079575695026,0.6021079575695026,1.0305023260312538,1.0289341097528284
1.0,0.6835857142857144,0.6835857142857144,0.6842284321266272,0.6842284321266272,0.6835857142857144,0.6835857142857144,0.6835857142857144,0.6835857142857144,0.6686009699096267,0.6686009699096267,0.8554176256536893,0.8499468761411579
2.0,0.6990428571428572,0.6990428571428572,0.7087541583894107,0.7087541583894107,0.6990428571428572,0.6990428571428572,0.6990428571428572,0.6990428571428572,0.6892842259209141,0.6892842259209142,0.8094719237116375,0.8055903991514987
3.0,0.7036714285714285,0.7036714285714285,0.7133012151645449,0.7133012151645448,0.7036714285714285,0.7036714285714285,0.7036714285714285,0.7036714285714285,0.6981611813697114,0.6981611813697114,0.7808191376461829,0.7807920077984984
4.0,0.7137428571428571,0.7137428571428571,0.7208549462027705,0.7208549462027704,0.7137428571428571,0.7137428571428571,0.7137428571428571,0.7137428571428571,0.7095554440763946,0.7095554440763946,0.7586203580849791,0.7558473743498325
5.0,0.7217,0.7217,0.7217030808852587,0.7217030808852588,0.7217,0.7217,0.7217,0.7217,0.7156541484859731,0.7156541484859731,0.7446211534003689,0.7429629237814384
6.0,0.7212142857142857,0.7212142857142857,0.729495618774778,0.729495618774778,0.7212142857142857,0.7212142857142856,0.7212142857142857,0.7212142857142857,0.7159439283961864,0.7159439283961864,0.733903662989673,0.7333292883228172
7.0,0.7301714285714286,0.7301714285714286,0.7334845310202509,0.7334845310202509,0.7301714285714286,0.7301714285714286,0.7301714285714286,0.7301714285714287,0.7269609998193691,0.7269609998193691,0.7146816661096598,0.7128882572054863
8.0,0.7333285714285714,0.7333285714285714,0.7374929952037965,0.7374929952037965,0.7333285714285714,0.7333285714285716,0.7333285714285714,0.7333285714285714,0.7225533835626485,0.7225533835626485,0.7051083087648975,0.7035761311650276
9.0,0.7414142857142857,0.7414142857142857,0.7407807553980845,0.7407807553980845,0.7414142857142857,0.7414142857142857,0.7414142857142857,0.7414142857142857,0.7344896722663182,0.7344896722663182,0.688167917238523,0.6891293789852749
10.0,0.7293714285714286,0.7293714285714286,0.7435830083355606,0.7435830083355605,0.7293714285714286,0.7293714285714287,0.7293714285714286,0.7293714285714286,0.722589106550716,0.7225891065507161,0.6983158465934126,0.6949729857119646
