epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),loss,validation loss
0.0,0.22963333333333336,0.22963333333333336,0.22284899217333431,0.22284899217333431,0.22963333333333336,0.22963333333333336,0.22963333333333336,0.22963333333333336,0.17550549556653486,0.17550549556653483,2.1225439156623596,2.1209884322484336
1.0,0.29005000000000003,0.29005000000000003,0.30397619751692656,0.3039761975169266,0.29005000000000003,0.29005000000000003,0.29005000000000003,0.29005000000000003,0.2605849305962916,0.2605849305962917,1.9566900406746153,1.9557013921737672
2.0,0.33616666666666667,0.33616666666666667,0.3546210360952554,0.3546210360952554,0.33616666666666667,0.33616666666666667,0.33616666666666667,0.33616666666666667,0.31462282093191196,0.31462282093191196,1.852318638563156,1.854277279218038
3.0,0.36035000000000006,0.36035000000000006,0.38515649795951423,0.38515649795951423,0.36035000000000006,0.36035000000000006,0.36035000000000006,0.36035000000000006,0.344856311060857,0.344856311060857,1.7821152558986177,1.7822383874257404
4.0,0.3858666666666667,0.3858666666666667,0.3980269889806287,0.39802698898062877,0.3858666666666667,0.38586666666666664,0.3858666666666667,0.3858666666666667,0.37195208018607173,0.37195208018607173,1.7200482327887354,1.7171793308258056
5.0,0.4023333333333333,0.4023333333333333,0.4151761749998714,0.4151761749998714,0.4023333333333333,0.4023333333333333,0.4023333333333333,0.4023333333333333,0.3911404411359688,0.3911404411359688,1.6717196051110612,1.6704161494572958
6.0,0.4162666666666667,0.4162666666666667,0.4309951302024745,0.4309951302024744,0.4162666666666667,0.41626666666666673,0.4162666666666667,0.4162666666666667,0.4059357823132269,0.4059357823132269,1.6363837636531666,1.6365994755427042
7.0,0.42935,0.42935,0.44217979355090814,0.44217979355090814,0.42935,0.42935,0.42935,0.42935,0.41788157745155363,0.4178815774515535,1.595320292229348,1.597932669321696
8.0,0.42203333333333337,0.42203333333333337,0.4439658062548659,0.4439658062548659,0.42203333333333337,0.42203333333333337,0.42203333333333337,0.42203333333333337,0.41226046223007345,0.41226046223007345,1.6017815409822667,1.6076045179367064
9.0,0.4378,0.4378,0.4533006549667798,0.4533006549667798,0.4378,0.4378,0.4378,0.4378,0.4267320901563537,0.4267320901563538,1.5681325130006099,1.5727060340245562
