epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),loss,validation loss
0.0,0.2752,0.2752,0.3018491913477982,0.3018491913477982,0.2752,0.2752,0.2752,0.2752,0.23640941778748323,0.23640941778748328,1.9868321591235223,1.983124866803487
1.0,0.33998333333333336,0.33998333333333336,0.3653746770814039,0.36537467708140386,0.33998333333333336,0.3399833333333333,0.33998333333333336,0.33998333333333336,0.31876098597812486,0.31876098597812486,1.8346262571659495,1.838263215382894
2.0,0.3785833333333333,0.3785833333333333,0.3986091718002912,0.39860917180029126,0.3785833333333333,0.3785833333333334,0.3785833333333333,0.3785833333333333,0.3619196691669478,0.3619196691669478,1.7446338274377458,1.7506589867273967
3.0,0.39303333333333335,0.39303333333333335,0.41342864447638095,0.41342864447638095,0.39303333333333335,0.3930333333333334,0.39303333333333335,0.39303333333333335,0.3836568614953787,0.38365686149537864,1.695519190138959,1.7058742224375407
4.0,0.4189,0.4189,0.4290367022028751,0.4290367022028751,0.4189,0.4189,0.4189,0.4189,0.40607157051840453,0.40607157051840453,1.6279520827404994,1.64342067305247
5.0,0.43005000000000004,0.43005000000000004,0.43715861110054277,0.43715861110054277,0.43005000000000004,0.43004999999999993,0.43005000000000004,0.43005000000000004,0.420849361744835,0.420849361744835,1.5977320559481358,1.61377667204539
6.0,0.4369333333333333,0.4369333333333333,0.45092229232406156,0.4509222923240615,0.4369333333333333,0.43693333333333334,0.4369333333333333,0.4369333333333333,0.4279331367119519,0.4279331367119519,1.5702051568538584,1.5870047375361125
7.0,0.44783333333333336,0.44783333333333336,0.46066807912778013,0.46066807912778013,0.44783333333333336,0.44783333333333336,0.44783333333333336,0.44783333333333336,0.4430828214870287,0.4430828214870287,1.5433144867420197,1.5618956797917682
8.0,0.45745,0.45745,0.46135206378487464,0.46135206378487464,0.45745,0.45744999999999997,0.45745,0.45745,0.4508514265180136,0.45085142651801347,1.5232465518281815,1.5443259191513061
9.0,0.4596333333333334,0.4596333333333334,0.4715227574550598,0.4715227574550598,0.4596333333333334,0.4596333333333334,0.4596333333333334,0.4596333333333334,0.4508466333024005,0.4508466333024005,1.5064836073429024,1.5307458562850953
10.0,0.46559999999999996,0.46559999999999996,0.4751457630810079,0.4751457630810079,0.46559999999999996,0.46559999999999996,0.46559999999999996,0.46559999999999996,0.4577318552883284,0.4577318552883284,1.4860605531550468,1.5096143798828126
11.0,0.4679833333333333,0.4679833333333333,0.47583379669461107,0.47583379669461107,0.4679833333333333,0.46798333333333336,0.4679833333333333,0.4679833333333333,0.4604400513706931,0.4604400513706931,1.4789588199016896,1.5032136545181274
12.0,0.4710166666666667,0.4710166666666667,0.483835235890336,0.483835235890336,0.4710166666666667,0.4710166666666666,0.4710166666666667,0.4710166666666667,0.46267760093877125,0.46267760093877125,1.4694785837163316,1.4979747282663982
13.0,0.4758333333333334,0.4758333333333334,0.4880175466391382,0.4880175466391382,0.4758333333333334,0.4758333333333334,0.4758333333333334,0.4758333333333334,0.46702777912772764,0.4670277791277275,1.4632342168625365,1.4913925329844155
14.0,0.48158333333333336,0.48158333333333336,0.491028843541841,0.491028843541841,0.48158333333333336,0.48158333333333336,0.48158333333333336,0.48158333333333336,0.4768339145354109,0.4768339145354109,1.450102659869701,1.4770937169392904
15.0,0.4843,0.4843,0.49819097595792866,0.49819097595792866,0.4843,0.4843,0.4843,0.4843,0.47717893374744874,0.47717893374744874,1.4377429322993502,1.4651348930994668
16.0,0.48925,0.48925,0.49809568741549815,0.49809568741549803,0.48925,0.48925,0.48925,0.48925,0.48392878208916484,0.48392878208916495,1.4254805402552826,1.4534325987497965
17.0,0.4891,0.4891,0.4973913951861569,0.4973913951861567,0.4891,0.4891,0.4891,0.4891,0.48125146661335255,0.48125146661335255,1.4247365605323872,1.4563724842071533
18.0,0.4913666666666666,0.4913666666666666,0.5005625135304224,0.5005625135304224,0.4913666666666666,0.4913666666666666,0.4913666666666666,0.4913666666666666,0.48319849287300903,0.48319849287300903,1.4132811260984302,1.4415768610636392
19.0,0.49218333333333336,0.49218333333333336,0.503832586686264,0.503832586686264,0.49218333333333336,0.4921833333333333,0.49218333333333336,0.49218333333333336,0.48421220316501046,0.48421220316501057,1.409482191978617,1.4447360728581746
20.0,0.4975333333333333,0.4975333333333333,0.5080514723235654,0.5080514723235653,0.4975333333333333,0.4975333333333333,0.4975333333333333,0.4975333333333333,0.49109872436804647,0.49109872436804636,1.4016178178026322,1.434347409248352
21.0,0.5018333333333332,0.5018333333333332,0.5122136116629236,0.5122136116629236,0.5018333333333332,0.5018333333333332,0.5018333333333332,0.5018333333333332,0.4954311454080285,0.4954311454080284,1.3893552938674358,1.4204821475346885
22.0,0.50125,0.50125,0.5155752419112234,0.5155752419112234,0.50125,0.50125,0.50125,0.50125,0.4970759890947223,0.49707598909472245,1.3941167970287038,1.425630236943563
23.0,0.50705,0.50705,0.5170412266688416,0.5170412266688417,0.50705,0.50705,0.50705,0.50705,0.5004095778676286,0.5004095778676286,1.3810230683773121,1.412632340113322
24.0,0.50855,0.50855,0.5198474814650658,0.5198474814650658,0.50855,0.5085500000000001,0.50855,0.50855,0.5038919785622783,0.5038919785622783,1.372248719600921,1.4084235483805339
25.0,0.50885,0.50885,0.5153037493122623,0.5153037493122622,0.50885,0.50885,0.50885,0.50885,0.5006617322703506,0.5006617322703506,1.3680617690086365,1.4054758720397948
