Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.3423999999999999,0.3423999999999999,0.2886571112285827,0.29692639108422014,0.3423999999999999,0.33063953588266326,0.3423999999999999,0.3423999999999999,0.27549169743674173,0.28555121408480527,1.764405120126733
1.0,0.3661571428571429,0.3661571428571429,0.33364384600548724,0.34134056066673335,0.3661571428571429,0.3556045642643946,0.3661571428571429,0.3661571428571429,0.3160869379657534,0.3256139513456414,1.729977989523378
2.0,0.3712142857142857,0.3712142857142857,0.35121940089180925,0.3590088154599246,0.3712142857142857,0.3617529474507162,0.3712142857142857,0.3712142857142857,0.3159021627978818,0.32531344643390414,1.7072276388673475
3.0,0.3894857142857143,0.3894857142857143,0.3555923734917184,0.36444111904319276,0.3894857142857143,0.37762364327366954,0.3894857142857143,0.3894857142857143,0.33700270022269796,0.34780540864373616,1.6850203876626004
4.0,0.3910571428571429,0.3910571428571429,0.3876032978869469,0.39528146678752824,0.3910571428571429,0.3802874584493102,0.3910571428571429,0.3910571428571428,0.33976092914191885,0.3496112010082234,1.6665169847610337
5.0,0.41101428571428567,0.41101428571428567,0.39618975695910985,0.4036350781045875,0.41101428571428567,0.3998505569303857,0.41101428571428567,0.41101428571428567,0.3715086758790963,0.3816761524587772,1.636990061633663
6.0,0.4185142857142857,0.4185142857142857,0.3976705147595153,0.4060096689743977,0.4185142857142857,0.4089232333500853,0.4185142857142857,0.4185142857142857,0.38326095230592533,0.39259077235709927,1.6217367779718685
7.0,0.4256714285714286,0.4256714285714286,0.41706661182028604,0.42469350647766496,0.4256714285714286,0.41630198607958385,0.4256714285714286,0.4256714285714286,0.39182681807550246,0.40070814196783405,1.5983537247191826
8.0,0.4384571428571428,0.4384571428571428,0.43015735040448533,0.43776415159495324,0.4384571428571428,0.4293764299428598,0.4384571428571428,0.4384571428571428,0.4097282394287392,0.41837231123234275,1.5669516154075864
9.0,0.44332857142857146,0.44332857142857146,0.4359648232841698,0.4434183441199136,0.44332857142857146,0.43394251551735563,0.44332857142857146,0.44332857142857146,0.4118993644260776,0.42058286829031644,1.5603913706731578
10.0,0.4518857142857143,0.4518857142857143,0.4443840403086542,0.4517035792703477,0.4518857142857143,0.4425260132288023,0.4518857142857143,0.4518857142857143,0.4223088752050164,0.43096638383548536,1.5423567939566696
11.0,0.4496714285714286,0.4496714285714286,0.4517377569014137,0.4595244595043207,0.4496714285714286,0.44075636152066383,0.4496714285714286,0.4496714285714286,0.4238534693982185,0.4325497980321626,1.5443458290404926
12.0,0.4627285714285715,0.4627285714285715,0.45872731514546644,0.46563029271884754,0.4627285714285715,0.45324729117062634,0.4627285714285715,0.4627285714285715,0.42697778358997385,0.435739009957377,1.515309497537134
13.0,0.4667714285714285,0.4667714285714285,0.4655033087037717,0.47261647397553397,0.4667714285714285,0.4572316109184274,0.4667714285714285,0.4667714285714285,0.4423222377633033,0.4510309839165706,1.510052722556406
14.0,0.4688714285714285,0.4688714285714285,0.47934799687199436,0.486187885633548,0.4688714285714285,0.4605805116260629,0.4688714285714285,0.4688714285714285,0.44272483655632094,0.45119869815988595,1.5064310555044376
15.0,0.47504285714285716,0.47504285714285716,0.4673687117163639,0.4738695520616676,0.47504285714285716,0.46470098606653654,0.47504285714285716,0.47504285714285716,0.44448806574386035,0.4538430972623745,1.4894939609858544
16.0,0.47112857142857134,0.47112857142857134,0.47281142989294633,0.4796745967908517,0.47112857142857134,0.4620366285980889,0.47112857142857134,0.47112857142857134,0.4431915608201883,0.45167814844231635,1.4944885738364093
17.0,0.48657142857142854,0.48657142857142854,0.48218791067042766,0.48916091048876115,0.48657142857142854,0.4770568392474533,0.48657142857142854,0.48657142857142854,0.46296576439591136,0.47171901377582204,1.4726970650834035
18.0,0.47727142857142857,0.47727142857142857,0.47838503098361074,0.4856976877589617,0.47727142857142857,0.4691225125116918,0.47727142857142857,0.47727142857142857,0.45520949134644295,0.463067301060506,1.4785470074170257
19.0,0.4838571428571429,0.4838571428571429,0.4870916682655123,0.49406521634463846,0.4838571428571429,0.4746311746889762,0.4838571428571429,0.4838571428571429,0.45475439100917336,0.4635080414111975,1.4781298013582622
20.0,0.48657142857142854,0.48657142857142854,0.4839709076975723,0.4908713742331939,0.48657142857142854,0.4775626082789522,0.48657142857142854,0.48657142857142854,0.46276955418314863,0.47094975814224416,1.4631612489212593
21.0,0.4981999999999999,0.4981999999999999,0.494189599185514,0.500892781740092,0.4981999999999999,0.4888401607714224,0.4981999999999999,0.4981999999999999,0.47549498090139747,0.48398301280346645,1.4476315361179717
22.0,0.4972714285714286,0.4972714285714286,0.4895905888082945,0.49635570408387863,0.4972714285714286,0.4887416305929392,0.4972714285714286,0.4972714285714286,0.47190130708259226,0.4797969012979305,1.4432724340321266
23.0,0.5021571428571429,0.5021571428571429,0.5012124236683249,0.5081453272545626,0.5021571428571429,0.4933621766272024,0.5021571428571429,0.5021571428571429,0.4809342551646454,0.48915149346275877,1.4412130899080946
24.0,0.49634285714285714,0.49634285714285714,0.4943448143445936,0.5005682532958801,0.49634285714285714,0.48688294162595297,0.49634285714285714,0.49634285714285714,0.4670020435036151,0.47515920679496837,1.4459653631192908
25.0,0.49924285714285715,0.49924285714285715,0.5134068359420016,0.5211603977109333,0.49924285714285715,0.4928780087857406,0.49924285714285715,0.49924285714285715,0.47729862699805137,0.48454131781816134,1.4406449744690497
