epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),loss,validation loss
0.0,0.10307692307692307,0.10307692307692307,0.04069766550321386,0.04069766550321386,0.10307692307692307,0.10307692307692307,0.10307692307692307,0.10307692307692307,0.025933739350034197,0.025933739350034197,2.3298802526985725,2.3319317733540257
1.0,0.10876923076923077,0.10876923076923077,0.03801482331473717,0.03801482331473717,0.10876923076923077,0.10876923076923077,0.10876923076923077,0.10876923076923077,0.03333563663952803,0.033335636639528037,2.3104790687561034,2.314809089548448
2.0,0.12538461538461537,0.12538461538461537,0.04562656179129215,0.04562656179129215,0.12538461538461537,0.12538461538461537,0.12538461538461537,0.12538461538461537,0.044039910485406446,0.044039910485406446,2.3053389142199263,2.3103319897371177
3.0,0.12892307692307695,0.12892307692307695,0.08659439513600811,0.08659439513600811,0.12892307692307695,0.12892307692307695,0.12892307692307695,0.12892307692307692,0.05336965064184832,0.05336965064184831,2.279820789941927,2.275656944162705
4.0,0.18,0.18,0.19560888491710426,0.19560888491710426,0.18,0.18,0.18,0.18,0.11568724668547443,0.11568724668547445,2.2088990862776594,2.204143737344181
5.0,0.20115384615384616,0.20115384615384616,0.19614659620968244,0.19614659620968242,0.20115384615384616,0.20115384615384616,0.20115384615384616,0.20115384615384616,0.14510868396710158,0.14510868396710158,2.129174463341876,2.125312064675724
6.0,0.22207692307692312,0.22207692307692312,0.22388139312698474,0.2238813931269848,0.22207692307692312,0.22207692307692306,0.22207692307692312,0.22207692307692312,0.17041189813281976,0.17041189813281976,2.0589871429815525,2.05965362997616
7.0,0.25069230769230766,0.25069230769230766,0.2603036358837352,0.2603036358837352,0.25069230769230766,0.25069230769230766,0.25069230769230766,0.25069230769230766,0.19881555623604663,0.19881555623604666,1.9917134779255565,1.9873731893651627
8.0,0.26253846153846155,0.26253846153846155,0.26653601725619314,0.26653601725619314,0.26253846153846155,0.26253846153846155,0.26253846153846155,0.26253846153846155,0.2176417986113659,0.21764179861136596,1.9618466627307054,1.9588344616048476
9.0,0.2542307692307692,0.2542307692307692,0.24776319255784732,0.24776319255784732,0.2542307692307692,0.2542307692307692,0.2542307692307692,0.2542307692307692,0.20317871397727347,0.20317871397727344,1.9570362672573183,1.9620329267838421
10.0,0.3015384615384616,0.3015384615384616,0.28666508953057257,0.28666508953057257,0.3015384615384616,0.3015384615384616,0.3015384615384616,0.3015384615384616,0.2691470290761273,0.2691470290761273,1.8750533668006337,1.8830785877564373
