epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),validation f1-measure (micro),validation f1-measure (macro),validation f1-measure (weighted),train f1-measure (micro),train f1-measure (macro),train f1-measure (weighted),loss,validation loss,train loss
0.0,0.10792307692307693,0.10792307692307693,0.04383815377518907,0.04383815377518907,0.10792307692307693,0.10792307692307693,0.10792307692307693,0.10792307692307693,0.029176371019707693,0.029176371019707693,0.11000000000000001,0.030265978931693593,0.03026597893169359,0.10933760683760685,0.029449220381170517,0.029449220381170517,2.315395005156354,2.315709610546336,2.314859765889693
1.0,0.15776923076923077,0.15776923076923077,0.14782349860143146,0.14782349860143146,0.15776923076923077,0.15776923076923077,0.15776923076923077,0.15776923076923077,0.09093744788555866,0.09093744788555866,0.15942307692307692,0.09177189745263471,0.09177189745263468,0.15848290598290599,0.09136934570817115,0.09136934570817115,2.2494042105791046,2.246600504482494,2.250158679404226
2.0,0.2043076923076923,0.2043076923076923,0.17537105911398265,0.17537105911398262,0.2043076923076923,0.2043076923076923,0.2043076923076923,0.2043076923076923,0.13952253297226855,0.13952253297226858,0.20884615384615385,0.14448457757943434,0.14448457757943434,0.2038675213675214,0.13799995406877402,0.13799995406877402,2.1198942085591757,2.1268489963868085,2.1223052762803576
3.0,0.2306153846153846,0.2306153846153846,0.21935403722564958,0.21935403722564958,0.2306153846153846,0.23061538461538458,0.2306153846153846,0.2306153846153846,0.17520528933099105,0.17520528933099105,0.2246153846153846,0.1711446553654583,0.17114465536545836,0.22602564102564102,0.17146916798635686,0.17146916798635686,2.035656228298094,2.035887262400459,2.033727020795653
4.0,0.2525384615384615,0.2525384615384615,0.2808589692557516,0.2808589692557516,0.2525384615384615,0.2525384615384615,0.2525384615384615,0.2525384615384615,0.19820551226868768,0.1982055122686877,0.25884615384615384,0.2035930556219033,0.20359305562190327,0.25756410256410256,0.20355748489426362,0.20355748489426356,1.9297741366595758,1.9379947171491732,1.9264381669816515
5.0,0.28184615384615386,0.28184615384615386,0.3236704573293816,0.32367045732938154,0.28184615384615386,0.28184615384615386,0.28184615384615386,0.28184615384615386,0.25275733037011394,0.25275733037011394,0.2865384615384615,0.25706326104765437,0.25706326104765437,0.28365384615384615,0.2542364375037166,0.2542364375037166,1.8791232207926307,1.8681469819125005,1.8745857712362899
6.0,0.3046153846153846,0.3046153846153846,0.31157214080292084,0.31157214080292084,0.3046153846153846,0.3046153846153846,0.3046153846153846,0.3046153846153846,0.26065503444556065,0.26065503444556065,0.31519230769230766,0.2704523453316021,0.2704523453316021,0.3108760683760684,0.2666763036330289,0.26667630363302885,1.8236793204051693,1.8158561622395233,1.817653829386445
7.0,0.31053846153846154,0.31053846153846154,0.3236969688824292,0.32369696888242927,0.31053846153846154,0.31053846153846154,0.31053846153846154,0.31053846153846154,0.2702914681950671,0.2702914681950671,0.3161538461538462,0.27459009332215095,0.27459009332215095,0.31655982905982905,0.2777103448784712,0.2777103448784711,1.8349627756490938,1.824426537401536,1.829359720515556
8.0,0.3193076923076923,0.3193076923076923,0.34166074809637037,0.34166074809637037,0.3193076923076923,0.3193076923076923,0.3193076923076923,0.3193076923076923,0.29030954567932804,0.290309545679328,0.3255769230769231,0.29307116050901444,0.29307116050901444,0.327008547008547,0.29751470850602757,0.29751470850602757,1.7900307992609537,1.7826321700040033,1.780358626728966
9.0,0.3307692307692308,0.3307692307692308,0.35276740252268696,0.35276740252268696,0.3307692307692308,0.3307692307692308,0.3307692307692308,0.3307692307692308,0.30714645812597674,0.30714645812597674,0.33730769230769225,0.3144601515728128,0.3144601515728128,0.3375,0.3152804422484153,0.3152804422484153,1.7725398325338595,1.760533114040599,1.763880441951103
