Epoch,Accuracy,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F-measure (micro),F-measure (macro),F-measure (weighted),Avg loss
0.0,0.6214714285714287,0.6214714285714287,0.6439406225058015,0.6439406225058014,0.6214714285714287,0.6214714285714287,0.6214714285714287,0.6214714285714287,0.6019850960379974,0.6019850960379974,1.0150381998384381
1.0,0.6821857142857143,0.6821857142857143,0.6816589184332669,0.6816589184332669,0.6821857142857143,0.6821857142857144,0.6821857142857143,0.6821857142857143,0.6628911821817984,0.6628911821817984,0.8428268177324234
2.0,0.7012,0.7012,0.7111625462632608,0.7111625462632609,0.7012,0.7012,0.7012,0.7012,0.6981544464371592,0.6981544464371592,0.7952416316559325
3.0,0.7183714285714284,0.7183714285714284,0.7212002268553988,0.7212002268553988,0.7183714285714284,0.7183714285714285,0.7183714285714284,0.7183714285714284,0.710656590353938,0.710656590353938,0.7565421920933135
4.0,0.7283,0.7283,0.732514195665328,0.732514195665328,0.7283,0.7283,0.7283,0.7283,0.7217311022267935,0.7217311022267936,0.7299109590924495
5.0,0.7387,0.7387,0.7347960269958083,0.7347960269958083,0.7387,0.7387,0.7387,0.7387,0.7264115324698723,0.7264115324698723,0.7066411112269311
6.0,0.7406714285714285,0.7406714285714285,0.7502073157297459,0.7502073157297457,0.7406714285714285,0.7406714285714285,0.7406714285714285,0.7406714285714285,0.7394355750697572,0.7394355750697572,0.6914187013014267
7.0,0.7453571428571428,0.7453571428571428,0.7486232007661984,0.7486232007661984,0.7453571428571428,0.7453571428571428,0.7453571428571428,0.7453571428571428,0.7412225796148977,0.7412225796148977,0.6858382380171998
8.0,0.7466857142857143,0.7466857142857143,0.7501164419124269,0.7501164419124269,0.7466857142857143,0.7466857142857143,0.7466857142857143,0.7466857142857143,0.7371576775064677,0.7371576775064677,0.6722116547360268
9.0,0.7523571428571428,0.7523571428571428,0.7557077100495387,0.7557077100495388,0.7523571428571428,0.7523571428571428,0.7523571428571428,0.7523571428571428,0.7439563539493206,0.7439563539493205,0.6617284183905005
10.0,0.7493857142857142,0.7493857142857142,0.7572135433291981,0.757213543329198,0.7493857142857142,0.7493857142857142,0.7493857142857142,0.7493857142857142,0.7465110660756762,0.7465110660756762,0.6603620460044304
11.0,0.7622571428571429,0.7622571428571429,0.7622230021263674,0.7622230021263674,0.7622571428571429,0.7622571428571427,0.7622571428571429,0.7622571428571429,0.7561765667678794,0.7561765667678794,0.634998260349988
12.0,0.7556142857142858,0.7556142857142858,0.7607896642374982,0.7607896642374982,0.7556142857142858,0.7556142857142858,0.7556142857142858,0.7556142857142858,0.7485010919147832,0.7485010919147831,0.642752027375513
13.0,0.7603428571428571,0.7603428571428571,0.7740394404042392,0.7740394404042392,0.7603428571428571,0.7603428571428571,0.7603428571428571,0.7603428571428571,0.7591965462007817,0.7591965462007815,0.637577085870586
14.0,0.7686714285714287,0.7686714285714287,0.7702443758253709,0.7702443758253709,0.7686714285714287,0.7686714285714287,0.7686714285714287,0.7686714285714287,0.7617802132345488,0.7617802132345487,0.6201831435504024
15.0,0.7684,0.7684,0.7752964738489705,0.7752964738489705,0.7684,0.7684,0.7684,0.7684,0.7648025789582326,0.7648025789582326,0.6191638361101282
16.0,0.7665,0.7665,0.7739847192170648,0.7739847192170648,0.7665,0.7665,0.7665,0.7665000000000001,0.7606382229532566,0.7606382229532566,0.6253077830625996
17.0,0.7764,0.7764,0.7782335021362788,0.7782335021362788,0.7764,0.7764,0.7764,0.7764,0.772023895875966,0.772023895875966,0.6012299248889157
18.0,0.7714428571428572,0.7714428571428572,0.7742781438657411,0.7742781438657411,0.7714428571428572,0.7714428571428572,0.7714428571428572,0.7714428571428572,0.7646173120060473,0.7646173120060472,0.6074682964037542
19.0,0.7716142857142858,0.7716142857142858,0.7817115169144213,0.7817115169144211,0.7716142857142858,0.7716142857142857,0.7716142857142858,0.7716142857142858,0.7672955100930238,0.7672955100930238,0.6028469579132725
