epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),validation f1-measure (micro),validation f1-measure (macro),validation f1-measure (weighted),train f1-measure (micro),train f1-measure (macro),train f1-measure (weighted),loss,validation loss,train loss
0.0,0.0212,0.0212,0.00341443280271196,0.00341443280271196,0.0212,0.0212,0.0212,0.0212,0.0036210239164169997,0.003621023916416999,0.020666666666666667,0.0034174793604892866,0.0034174793604892875,0.021217592592592593,0.0034219717049564246,0.0034219717049564237,4.514428098658298,4.515296843210856,4.5119851441559975
1.0,0.040400000000000005,0.040400000000000005,0.01708229398865948,0.017082293988659483,0.040400000000000005,0.040400000000000005,0.040400000000000005,0.040400000000000005,0.016984694700657738,0.016984694700657735,0.04020833333333333,0.016861231279204816,0.016861231279204816,0.04110648148148148,0.017488800815327,0.017488800815327006,4.380150703673667,4.382655142466227,4.376403088887533
2.0,0.06763333333333332,0.06763333333333332,0.051887514927472324,0.05188751492747231,0.06763333333333332,0.06763333333333335,0.06763333333333332,0.06763333333333332,0.03992582523205923,0.03992582523205924,0.06504166666666666,0.03787741065801503,0.03787741065801503,0.06891666666666667,0.04073199029766706,0.040731990297667074,4.130775560723974,4.134468544006348,4.121980908499824
3.0,0.08471666666666665,0.08471666666666665,0.07110986028340345,0.07110986028340345,0.08471666666666665,0.08471666666666669,0.08471666666666665,0.08471666666666665,0.0558810120179745,0.0558810120179745,0.08279166666666667,0.053672646592916054,0.05367264659291606,0.08725000000000001,0.05738070923760573,0.05738070923760573,4.020954064105419,4.0232302125295,4.007864255481296
4.0,0.09283333333333334,0.09283333333333334,0.08344726387343833,0.08344726387343833,0.09283333333333334,0.09283333333333332,0.09283333333333334,0.09283333333333334,0.06420544879658191,0.06420544879658191,0.093875,0.06424933891244189,0.06424933891244189,0.09558333333333334,0.06628483858550553,0.06628483858550553,3.9498991055691492,3.9517097104390464,3.9320367119400585
5.0,0.10676666666666668,0.10676666666666668,0.09899951108234907,0.09899951108234907,0.10676666666666668,0.10676666666666668,0.10676666666666668,0.10676666666666668,0.0781134914367094,0.0781134914367094,0.10466666666666669,0.07573735959521806,0.07573735959521806,0.10889351851851851,0.08079624525301887,0.08079624525301887,3.8810133964457405,3.8812954317728683,3.8576761707729768
6.0,0.11298333333333335,0.11298333333333335,0.09997423885276362,0.0999742388527636,0.11298333333333335,0.11298333333333332,0.11298333333333335,0.11298333333333335,0.08452170584820558,0.08452170584820558,0.11554166666666668,0.08640647599771721,0.0864064759977172,0.11885648148148151,0.08923747767701586,0.08923747767701587,3.830557964203206,3.8316652050018307,3.803858627389978
7.0,0.12206666666666668,0.12206666666666668,0.11080004495145875,0.11080004495145875,0.12206666666666668,0.12206666666666666,0.12206666666666668,0.12206666666666668,0.09430144399701604,0.09430144399701604,0.12158333333333333,0.09358431165978649,0.0935843116597865,0.12613425925925928,0.09784241169415733,0.09784241169415732,3.8011289309948046,3.8014283142089837,3.772037784505774
8.0,0.11931666666666667,0.11931666666666667,0.11953036952053804,0.11953036952053804,0.11931666666666667,0.11931666666666665,0.11931666666666667,0.11931666666666667,0.0940280125323643,0.0940280125323643,0.12166666666666667,0.0961616394755608,0.09616163947556078,0.12466666666666666,0.09944752930520113,0.09944752930520113,3.7917144483708314,3.7919527556101484,3.7604430289798314
9.0,0.12855,0.12855,0.11752380383683429,0.11752380383683429,0.12855,0.12855,0.12855,0.12855,0.10146336234033373,0.10146336234033373,0.12958333333333333,0.10200490888331656,0.10200490888331659,0.1332824074074074,0.10640399201008924,0.10640399201008921,3.7611532921486712,3.7619738445281983,3.726525749983611
10.0,0.1305,0.1305,0.12022673375376411,0.12022673375376411,0.1305,0.1305,0.1305,0.1305,0.10407001279049673,0.10407001279049673,0.129625,0.10400334752004614,0.10400334752004614,0.13637037037037034,0.11040026213467943,0.11040026213467946,3.7468753350541943,3.7469271208445236,3.708067461225722
11.0,0.13445000000000001,0.13445000000000001,0.12916877449898,0.12916877449898,0.13445000000000001,0.13445,0.13445000000000001,0.13445000000000001,0.10753235012440361,0.10753235012440361,0.13183333333333333,0.10527476256297649,0.10527476256297649,0.14018055555555559,0.11319025757783567,0.11319025757783566,3.7197418639000426,3.72217891629537,3.6795996829845286
12.0,0.14066666666666666,0.14066666666666666,0.13696116830834748,0.13696116830834748,0.14066666666666666,0.14066666666666666,0.14066666666666666,0.14066666666666666,0.11639997723543336,0.11639997723543334,0.138875,0.11451795781077738,0.11451795781077738,0.1455740740740741,0.12105708949552987,0.12105708949552987,3.694337220141228,3.692360941569011,3.6511003401014532
13.0,0.13968333333333333,0.13968333333333333,0.14171374745029852,0.14171374745029852,0.13968333333333333,0.13968333333333333,0.13968333333333333,0.13968333333333333,0.11463803126837283,0.1146380312683728,0.14004166666666668,0.11472271075303989,0.11472271075303986,0.14596296296296296,0.12016558198298441,0.1201655819829844,3.6867048679514136,3.687310788472493,3.6434234626204884
14.0,0.1412666666666667,0.1412666666666667,0.14074767666642668,0.14074767666642668,0.1412666666666667,0.14126666666666668,0.1412666666666667,0.1412666666666667,0.11504973640038436,0.11504973640038434,0.142,0.11494202869957451,0.11494202869957451,0.1473611111111111,0.12103404310038068,0.12103404310038068,3.676875461923315,3.678740194956461,3.630365248079653
15.0,0.14799999999999996,0.14799999999999996,0.14513282419363552,0.14513282419363552,0.14799999999999996,0.14799999999999996,0.14799999999999996,0.14799999999999996,0.12399350529010542,0.12399350529010542,0.15033333333333332,0.124384706868734,0.12438470686873397,0.15375,0.12919220713374652,0.12919220713374652,3.648485542358236,3.6481906452178956,3.5993937232406052
16.0,0.1514,0.1514,0.14708210331328123,0.14708210331328123,0.1514,0.1514,0.1514,0.1514,0.12762205509046778,0.12762205509046778,0.14975,0.12544364006663405,0.12544364006663405,0.15697685185185187,0.1332684909496473,0.1332684909496473,3.636850900599297,3.6355964444478355,3.585547998075132
17.0,0.15394999999999998,0.15394999999999998,0.1570458442858598,0.15704584428585974,0.15394999999999998,0.15394999999999998,0.15394999999999998,0.15394999999999998,0.13051278122982332,0.13051278122982332,0.15654166666666666,0.132362070291921,0.132362070291921,0.16098148148148148,0.1372468065190034,0.1372468065190034,3.617991389365906,3.6158041966756187,3.56473641649882
18.0,0.15176666666666666,0.15176666666666666,0.15512444623627406,0.15512444623627406,0.15176666666666666,0.15176666666666666,0.15176666666666666,0.15176666666666666,0.12861169225457475,0.12861169225457475,0.15033333333333335,0.12593935163154027,0.12593935163154027,0.15864351851851852,0.1348620987806851,0.13486209878068514,3.621905202561236,3.6225421721140543,3.566960208963465
19.0,0.15843333333333331,0.15843333333333331,0.15482920224869562,0.15482920224869562,0.15843333333333331,0.15843333333333331,0.15843333333333331,0.15843333333333331,0.13102709216777075,0.13102709216777075,0.15820833333333334,0.1308159568075788,0.1308159568075788,0.16411111111111112,0.13722311207261068,0.13722311207261068,3.592877476519727,3.593223494847616,3.536984397817541
20.0,0.15771666666666667,0.15771666666666667,0.1576254450301719,0.1576254450301719,0.15771666666666667,0.15771666666666667,0.15771666666666667,0.15771666666666667,0.1342184918191816,0.1342184918191816,0.157875,0.1339405345829321,0.1339405345829321,0.167375,0.14433336165293442,0.1443333616529344,3.5784936105951344,3.5770798416137692,3.5194022205494067
21.0,0.1608,0.1608,0.16837588810267667,0.16837588810267667,0.1608,0.1608,0.1608,0.1608,0.14234697114196676,0.14234697114196676,0.160375,0.14172873840510108,0.14172873840510108,0.16944444444444445,0.1506370905995718,0.1506370905995718,3.575343893436675,3.576008639653524,3.5168898301301175
22.0,0.15776666666666667,0.15776666666666667,0.1573995956084029,0.1573995956084029,0.15776666666666667,0.15776666666666667,0.15776666666666667,0.15776666666666667,0.13443563098847697,0.134435630988477,0.15854166666666666,0.1347915015139891,0.13479150151398908,0.16760648148148147,0.1447924406855714,0.1447924406855714,3.5869971906885185,3.5862775084177647,3.5259258841761834
23.0,0.16365,0.16365,0.16227621852329693,0.1622762185232969,0.16365,0.16365,0.16365,0.16365,0.14162498130435835,0.14162498130435835,0.1625,0.14062179088832988,0.14062179088832988,0.1723425925925926,0.1499723793948188,0.1499723793948188,3.560089219123759,3.560011421839396,3.497536529611658
24.0,0.16706666666666667,0.16706666666666667,0.17125927838706878,0.17125927838706875,0.16706666666666667,0.1670666666666667,0.16706666666666667,0.16706666666666667,0.14669908078113628,0.14669908078113628,0.16616666666666666,0.14356384893280097,0.14356384893280094,0.17568518518518517,0.1548098866386177,0.1548098866386177,3.5490910213044344,3.5458936227162683,3.4838358227765114
25.0,0.16703333333333334,0.16703333333333334,0.17038330631028226,0.17038330631028226,0.16703333333333334,0.16703333333333334,0.16703333333333334,0.16703333333333334,0.14655321734661447,0.14655321734661447,0.16558333333333333,0.14453307553743472,0.14453307553743472,0.1761388888888889,0.15595231767376688,0.1559523176737669,3.5403600451794075,3.5378188012441,3.4738618015006737
26.0,0.16541666666666668,0.16541666666666668,0.16549253391269383,0.16549253391269383,0.16541666666666668,0.16541666666666668,0.16541666666666668,0.16541666666666668,0.14326706196296465,0.14326706196296468,0.16341666666666668,0.14127410365002616,0.14127410365002616,0.17492592592592593,0.1527289504041957,0.15272895040419573,3.5517534966164446,3.5501224594116207,3.485076246968022
27.0,0.17138333333333333,0.17138333333333333,0.16590741655132452,0.16590741655132454,0.17138333333333333,0.1713833333333333,0.17138333333333333,0.17138333333333333,0.1477243096629674,0.14772430966296737,0.17016666666666666,0.14647800275728035,0.14647800275728035,0.18161574074074074,0.1584365918399094,0.1584365918399094,3.5141677536862956,3.5134593696594236,3.445727541817559
28.0,0.17136666666666667,0.17136666666666667,0.16888049912975173,0.16888049912975173,0.17136666666666667,0.17136666666666667,0.17136666666666667,0.17136666666666667,0.15016359169116028,0.15016359169116025,0.17029166666666667,0.14918907807368967,0.14918907807368967,0.18147685185185186,0.1606234228724817,0.16062342287248174,3.5161034751445692,3.514975880304972,3.445435483649925
29.0,0.17315,0.17315,0.17453336171650333,0.1745333617165033,0.17315,0.17314999999999997,0.17315,0.17315,0.15248163917517404,0.15248163917517404,0.17387500000000003,0.15156279499923125,0.15156279499923125,0.1837777777777778,0.16295827877968122,0.1629582787796812,3.5076608774509834,3.5074664986928306,3.4365150660055654
30.0,0.17525,0.17525,0.17286985695687304,0.17286985695687304,0.17525,0.17525,0.17525,0.17525,0.15235557988976067,0.15235557988976067,0.172625,0.1500020682404553,0.1500020682404553,0.1848287037037037,0.16181614601746303,0.16181614601746303,3.4990485447518367,3.5021404075622558,3.42584162012736
31.0,0.17358333333333337,0.17358333333333337,0.18502741172883724,0.18502741172883724,0.17358333333333337,0.17358333333333337,0.17358333333333337,0.17358333333333337,0.15356741900364235,0.15356741900364237,0.17262499999999997,0.15149670444920185,0.15149670444920182,0.18389814814814814,0.16390920955148447,0.16390920955148447,3.507558744258069,3.5037326304117835,3.4333204455199064
32.0,0.17926666666666666,0.17926666666666666,0.18123569644891274,0.18123569644891274,0.17926666666666666,0.17926666666666666,0.17926666666666666,0.17926666666666666,0.15735563730022373,0.15735563730022373,0.17891666666666667,0.15702188287859767,0.1570218828785977,0.18856481481481482,0.1665891113219789,0.1665891113219789,3.483732088322335,3.482527858734131,3.4070358789232045
33.0,0.1765,0.1765,0.18032086652214488,0.18032086652214488,0.1765,0.17650000000000002,0.1765,0.1765,0.1568537851395617,0.1568537851395617,0.178875,0.15855687540633226,0.1585568754063323,0.1889583333333333,0.16884156637178177,0.16884156637178177,3.4850404701334363,3.4845425357818605,3.407622110790677
34.0,0.17676666666666668,0.17676666666666668,0.1817801091814255,0.1817801091814255,0.17676666666666668,0.17676666666666668,0.17676666666666668,0.17676666666666666,0.1562405412572093,0.1562405412572093,0.17833333333333334,0.15697670685359114,0.15697670685359116,0.18968055555555557,0.1691044155790208,0.16910441557902084,3.480675102041123,3.4800619958241783,3.4040259849407057
35.0,0.17813333333333334,0.17813333333333334,0.18274004055911108,0.18274004055911106,0.17813333333333334,0.1781333333333333,0.17813333333333334,0.17813333333333334,0.1578404915030778,0.15784049150307777,0.17970833333333333,0.15890477928147642,0.15890477928147645,0.19045370370370368,0.1696501271783099,0.16965012717830996,3.473783113347723,3.4716288820902506,3.3937026718987355
36.0,0.18376666666666666,0.18376666666666666,0.1848379553458141,0.1848379553458141,0.18376666666666666,0.18376666666666666,0.18376666666666666,0.18376666666666666,0.1636677369837281,0.1636677369837281,0.18366666666666664,0.16428435040938297,0.16428435040938297,0.19395833333333334,0.1744695590447584,0.1744695590447584,3.4622097583527256,3.458925219217936,3.3816548051480892
37.0,0.18088333333333334,0.18088333333333334,0.18050728948236908,0.18050728948236908,0.18088333333333334,0.18088333333333334,0.18088333333333334,0.18088333333333334,0.16007300811043068,0.16007300811043068,0.18241666666666664,0.161305582200709,0.16130558220070904,0.19581018518518517,0.1747244051893711,0.17472440518937113,3.4584879187827418,3.455804656982422,3.3745888420387553
38.0,0.18066666666666667,0.18066666666666667,0.1907091470053904,0.19070914700539038,0.18066666666666667,0.18066666666666664,0.18066666666666667,0.18066666666666664,0.1621314797416853,0.1621314797416853,0.18,0.16007221714115447,0.16007221714115447,0.19318055555555555,0.17413866300799646,0.17413866300799646,3.4612184986155086,3.4579153010050456,3.377847775494611
39.0,0.18625,0.18625,0.19250684019580483,0.19250684019580483,0.18625,0.18625,0.18625,0.18625,0.1662324257506564,0.16623242575065642,0.18875,0.16785950027597227,0.16785950027597227,0.19656481481481483,0.17655710538182465,0.17655710538182467,3.4365400382812985,3.4385765043894443,3.3516131255538375
40.0,0.18595,0.18595,0.19065050011640763,0.1906505001164076,0.18595,0.18594999999999998,0.18595,0.18595,0.16647896931655198,0.16647896931655198,0.18716666666666665,0.16754750420148337,0.16754750420148334,0.1973148148148148,0.17830384251891448,0.17830384251891446,3.4338877984817993,3.4326417986551925,3.3484522115919324
41.0,0.18914999999999998,0.18914999999999998,0.190060486618417,0.19006048661841707,0.18914999999999998,0.18914999999999998,0.18914999999999998,0.18914999999999998,0.1685102798961912,0.16851027989619122,0.18987500000000002,0.16946024681706748,0.16946024681706748,0.20273148148148148,0.18271495981570723,0.18271495981570723,3.418629926823555,3.419424056371053,3.331472237410369
42.0,0.18986666666666668,0.18986666666666668,0.19420064189435418,0.1942006418943542,0.18986666666666668,0.18986666666666668,0.18986666666666668,0.18986666666666668,0.1695117877356249,0.16951178773562486,0.18658333333333332,0.1649214026490142,0.1649214026490142,0.2011574074074074,0.1796440068138084,0.17964400681380846,3.417581887955361,3.4173478787740073,3.33065002045808
43.0,0.18896666666666667,0.18896666666666667,0.18997486013361656,0.18997486013361659,0.18896666666666667,0.18896666666666667,0.18896666666666667,0.18896666666666667,0.16988649464659264,0.16988649464659264,0.189375,0.17033847005828368,0.17033847005828368,0.2033981481481481,0.18411279083979898,0.18411279083979898,3.414382129527153,3.4140518951416015,3.3261936533186165
