epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),validation f1-measure (micro),validation f1-measure (macro),validation f1-measure (weighted),train f1-measure (micro),train f1-measure (macro),train f1-measure (weighted),loss,validation loss,train loss
0.0,0.021416666666666667,0.021416666666666667,0.005128523280430881,0.005128523280430881,0.021416666666666667,0.021416666666666667,0.021416666666666667,0.021416666666666667,0.004469258276270059,0.0044692582762700574,0.020166666666666666,0.003863312334638277,0.003863312334638277,0.02138425925925926,0.004341406827407206,0.004341406827407206,4.522061452967056,4.523526158650716,4.52078302581222
1.0,0.042966666666666674,0.042966666666666674,0.02591020437293749,0.025910204372937486,0.042966666666666674,0.042966666666666674,0.042966666666666674,0.042966666666666674,0.019419872305203836,0.019419872305203836,0.041999999999999996,0.01891878652102627,0.018918786521026274,0.042773148148148143,0.019572191552371353,0.019572191552371353,4.331858476933013,4.331235246022542,4.324135456367776
2.0,0.07188333333333333,0.07188333333333333,0.05814980931652428,0.05814980931652428,0.07188333333333333,0.07188333333333334,0.07188333333333333,0.07188333333333333,0.04392635833606652,0.04392635833606652,0.06883333333333333,0.040686996833577155,0.040686996833577155,0.07133333333333333,0.043484064002089366,0.04348406400208938,4.1272123045109685,4.128150993982951,4.116105522579618
3.0,0.08735,0.08735,0.07389707045516349,0.07389707045516349,0.08735,0.08735,0.08735,0.08735,0.05806398837727368,0.05806398837727368,0.08604166666666666,0.05747872823842494,0.057478728238424925,0.08898611111111113,0.05968135786057096,0.05968135786057096,4.009819148449187,4.007524326324463,3.9931838043354175
4.0,0.09843333333333334,0.09843333333333334,0.08722444881302457,0.08722444881302457,0.09843333333333334,0.09843333333333333,0.09843333333333334,0.09843333333333334,0.07082632111348511,0.07082632111348511,0.1,0.07188128059790408,0.07188128059790408,0.1018611111111111,0.0738734117814925,0.0738734117814925,3.929993329910522,3.9288021863301594,3.9093253025478782
5.0,0.11356666666666668,0.11356666666666668,0.09436808703670221,0.09436808703670221,0.11356666666666668,0.11356666666666666,0.11356666666666668,0.11356666666666668,0.08424175964788976,0.08424175964788976,0.11320833333333333,0.08337023346775915,0.08337023346775918,0.11664351851851851,0.08745203302226078,0.08745203302226079,3.859009640267555,3.8572642091115314,3.833135560494882
6.0,0.11775,0.11775,0.1095121508061502,0.1095121508061502,0.11775,0.11775,0.11775,0.11775,0.09045463793690775,0.09045463793690775,0.11620833333333333,0.08930831733908119,0.08930831733908118,0.1229675925925926,0.0952450101653455,0.0952450101653455,3.8161412259365646,3.816381336847941,3.7862398232354053
7.0,0.12793333333333332,0.12793333333333332,0.12547331832948785,0.12547331832948783,0.12793333333333332,0.12793333333333332,0.12793333333333332,0.12793333333333332,0.10075473922573411,0.10075473922573411,0.128125,0.1010807911294064,0.1010807911294064,0.1322962962962963,0.10532995580463811,0.10532995580463811,3.7641870194293086,3.761851064046224,3.731495289555302
8.0,0.13294999999999998,0.13294999999999998,0.13162810827158544,0.13162810827158544,0.13294999999999998,0.13294999999999998,0.13294999999999998,0.13294999999999998,0.10814762623378878,0.10814762623378878,0.13308333333333333,0.10699245415695882,0.10699245415695882,0.13689814814814816,0.11170326372863766,0.11170326372863766,3.735292974938738,3.7355553963979085,3.6998064289799446
9.0,0.13918333333333333,0.13918333333333333,0.13988355452484927,0.13988355452484927,0.13918333333333333,0.13918333333333333,0.13918333333333333,0.13918333333333333,0.11520988957944152,0.11520988957944149,0.14095833333333335,0.11615305348690448,0.11615305348690448,0.14519444444444446,0.12030979697208208,0.12030979697208208,3.70014175455621,3.6977860641479494,3.6607772776285805
10.0,0.14484999999999998,0.14484999999999998,0.1424568900103201,0.1424568900103201,0.14484999999999998,0.14485,0.14484999999999998,0.14484999999999998,0.1190829996601706,0.1190829996601706,0.1447916666666667,0.11864473948858847,0.11864473948858845,0.14976851851851852,0.12377915337962273,0.12377915337962273,3.6678438823273845,3.6657464593251547,3.628072025157787
11.0,0.14966666666666667,0.14966666666666667,0.15119322715723849,0.15119322715723849,0.14966666666666667,0.14966666666666667,0.14966666666666667,0.14966666666666667,0.1253962795638745,0.1253962795638745,0.149125,0.12449488184317022,0.12449488184317022,0.15593981481481484,0.13116105513233606,0.13116105513233606,3.643954234427594,3.6458911132812504,3.6024639949798583
12.0,0.15338333333333334,0.15338333333333334,0.16362701240299987,0.16362701240299987,0.15338333333333334,0.15338333333333334,0.15338333333333334,0.15338333333333334,0.13027688123225517,0.13027688123225517,0.15241666666666667,0.1286500897733969,0.1286500897733969,0.15890740740740741,0.13520771923627023,0.13520771923627023,3.6191234086422215,3.614914423624674,3.573163625222665
13.0,0.16078333333333333,0.16078333333333333,0.16397969885137967,0.1639796988513797,0.16078333333333333,0.16078333333333333,0.16078333333333333,0.16078333333333333,0.13457442313073925,0.13457442313073925,0.15958333333333335,0.13438204983463545,0.13438204983463542,0.16579166666666667,0.13990017972607652,0.13990017972607652,3.5858222055942455,3.5840932343800866,3.5380822777218293
14.0,0.16296666666666665,0.16296666666666665,0.16572778979867595,0.16572778979867595,0.16296666666666665,0.16296666666666665,0.16296666666666665,0.16296666666666665,0.13968032917029088,0.13968032917029088,0.16220833333333334,0.13914312657050976,0.13914312657050973,0.1698148148148148,0.14620945831257615,0.14620945831257617,3.5620749230080464,3.559407580693563,3.51300543834545
15.0,0.16871666666666668,0.16871666666666668,0.17772868885714885,0.17772868885714885,0.16871666666666668,0.16871666666666668,0.16871666666666668,0.16871666666666668,0.1465463668968921,0.1465463668968921,0.16970833333333335,0.1471504167806404,0.1471504167806404,0.17535648148148147,0.15311567440944557,0.15311567440944557,3.5411013369864603,3.534881462097168,3.4880317663263396
16.0,0.17138333333333333,0.17138333333333333,0.17566035756033233,0.17566035756033233,0.17138333333333333,0.17138333333333333,0.17138333333333333,0.17138333333333333,0.14893146588864012,0.1489314658886401,0.17145833333333332,0.14802421440824726,0.14802421440824726,0.17909722222222219,0.15542740005427885,0.15542740005427885,3.526106676142267,3.519577835083008,3.4706416089799665
