epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),loss,validation loss
0.0,0.021833333333333337,0.021833333333333337,0.001955427080712813,0.0019554270807128128,0.021833333333333337,0.021833333333333337,0.021833333333333337,0.021833333333333337,0.003288809894273003,0.003288809894273004,4.522620572942368,4.52925785446167
1.0,0.045316666666666665,0.045316666666666665,0.0271110943670027,0.027111094367002698,0.045316666666666665,0.04531666666666667,0.045316666666666665,0.045316666666666665,0.018972571125041533,0.018972571125041537,4.298931131210733,4.30923984781901
2.0,0.07986666666666667,0.07986666666666667,0.06401579106780417,0.06401579106780417,0.07986666666666667,0.07986666666666667,0.07986666666666667,0.07986666666666667,0.04888440542301848,0.04888440542301849,4.0319938750977204,4.050956846237183
3.0,0.10464999999999999,0.10464999999999999,0.09427340139027025,0.09427340139027027,0.10464999999999999,0.10465000000000002,0.10464999999999999,0.10464999999999999,0.0750610498716744,0.0750610498716744,3.902752858527163,3.926605587005615
4.0,0.11668333333333333,0.11668333333333333,0.1132617067541725,0.1132617067541725,0.11668333333333333,0.11668333333333333,0.11668333333333333,0.11668333333333333,0.08715408904716106,0.08715408904716106,3.8254222732909184,3.860262395858765
5.0,0.12841666666666668,0.12841666666666668,0.12196464241846965,0.12196464241846965,0.12841666666666668,0.12841666666666668,0.12841666666666668,0.12841666666666668,0.09939338204049963,0.09939338204049963,3.7555243580899345,3.7901747907002763
6.0,0.13705,0.13705,0.1352306750770798,0.1352306750770798,0.13705,0.13705,0.13705,0.13705,0.10975646120976223,0.10975646120976226,3.712096207192604,3.7524436753590904
7.0,0.1419,0.1419,0.14303418755964462,0.14303418755964462,0.1419,0.14189999999999997,0.1419,0.1419,0.11598009913723542,0.11598009913723542,3.675391009259731,3.7194963868459063
8.0,0.14381666666666665,0.14381666666666665,0.15475457279184135,0.15475457279184135,0.14381666666666665,0.14381666666666665,0.14381666666666665,0.14381666666666665,0.12104305597335216,0.12104305597335216,3.6502010363213566,3.6954785938262944
9.0,0.15423333333333333,0.15423333333333333,0.15230789670762,0.15230789670762,0.15423333333333333,0.15423333333333333,0.15423333333333333,0.15423333333333333,0.12604951083440932,0.12604951083440935,3.6089580168115334,3.6585818716684977
10.0,0.15913333333333332,0.15913333333333332,0.17169404449077355,0.17169404449077355,0.15913333333333332,0.15913333333333332,0.15913333333333332,0.15913333333333332,0.13722713426575936,0.13722713426575933,3.56941632615759,3.626315917332967
11.0,0.16316666666666665,0.16316666666666665,0.16583816960284667,0.16583816960284667,0.16316666666666665,0.16316666666666665,0.16316666666666665,0.16316666666666665,0.13939171575993908,0.13939171575993914,3.550467154827524,3.610011856079102
12.0,0.1665666666666667,0.1665666666666667,0.17349977779860154,0.17349977779860154,0.1665666666666667,0.1665666666666667,0.1665666666666667,0.1665666666666667,0.1438432977522033,0.1438432977522033,3.529811999138366,3.590469659169515
13.0,0.17165000000000002,0.17165000000000002,0.17518318975520408,0.17518318975520408,0.17165000000000002,0.17165000000000002,0.17165000000000002,0.17165000000000002,0.1490114377540827,0.1490114377540827,3.4944946890181683,3.5536854025522864
14.0,0.1714166666666667,0.1714166666666667,0.17987203330885457,0.17987203330885454,0.1714166666666667,0.17141666666666663,0.1714166666666667,0.1714166666666667,0.14919443636983823,0.14919443636983823,3.4869551968067247,3.550880232493083
15.0,0.17931666666666665,0.17931666666666665,0.18438089594959453,0.1843808959495945,0.17931666666666665,0.17931666666666668,0.17931666666666665,0.17931666666666665,0.15596390893099943,0.15596390893099948,3.4537960308663385,3.5226740500132245
