epoch,accuracy,precision (micro),precision (macro),precision (weighted),recall (micro),recall (macro),recall (weighted),f1-measure (micro),f1-measure (macro),f1-measure (weighted),validation f1-measure (micro),validation f1-measure (macro),validation f1-measure (weighted),train f1-measure (micro),train f1-measure (macro),train f1-measure (weighted),loss,validation loss,train loss
0.0,0.028916666666666667,0.028916666666666667,0.009608591917902694,0.009608591917902694,0.028916666666666667,0.028916666666666667,0.028916666666666667,0.028916666666666667,0.007802060062674974,0.007802060062674976,0.027958333333333335,0.007529163211890284,0.007497056771660937,0.029027777777777774,0.00759232238999825,0.007606489727926676,4.478560613064056,4.480454514821371,4.477914801279704
1.0,0.05338333333333334,0.05338333333333334,0.03306675938329247,0.03306675938329247,0.05338333333333334,0.053383333333333324,0.05338333333333334,0.05338333333333334,0.02366763147882984,0.02366763147882984,0.052708333333333336,0.023235858541402594,0.023229045628576056,0.05363425925925926,0.023704073119936456,0.023757483218917675,4.262550450132249,4.261715352376302,4.2601120707194005
2.0,0.08515,0.08515,0.07197151988482872,0.07197151988482874,0.08515,0.08515,0.08515,0.08515,0.0567693682438515,0.0567693682438515,0.08645833333333333,0.059038947860124216,0.05956604244000543,0.0860648148148148,0.05789880703442899,0.057953495012263365,4.021191833627984,4.020714441935221,4.014700098814787
3.0,0.09878333333333333,0.09878333333333333,0.09670104008576712,0.09670104008576712,0.09878333333333333,0.09878333333333332,0.09878333333333333,0.09878333333333333,0.07134173993461593,0.07134173993461593,0.098,0.07131845623363306,0.07176421405978008,0.09995833333333333,0.07288480773848606,0.07294657835905807,3.920162058637497,3.9253821716308592,3.912963611955996
4.0,0.11548333333333334,0.11548333333333334,0.10951423922456668,0.10951423922456671,0.11548333333333334,0.11548333333333334,0.11548333333333334,0.11548333333333334,0.08640972671475389,0.0864097267147539,0.11658333333333333,0.08689040324761846,0.08708950533702722,0.11674074074074074,0.08703036978026615,0.08714427875863921,3.8433224135256827,3.8528871568044023,3.832484303651033
5.0,0.12408333333333335,0.12408333333333335,0.12430098226604351,0.1243009822660435,0.12408333333333335,0.12408333333333335,0.12408333333333335,0.12408333333333335,0.0952589458065064,0.09525894580650641,0.12233333333333332,0.09143606769788157,0.0918668877098108,0.12630555555555553,0.09668280398561668,0.09680788010281494,3.781430312420459,3.793838677724203,3.7705471495169185
6.0,0.13286666666666663,0.13286666666666663,0.1291506332252279,0.1291506332252279,0.13286666666666663,0.13286666666666663,0.13286666666666663,0.13286666666666663,0.10656418382855821,0.10656418382855823,0.12987500000000002,0.10346142928398842,0.10396071980811276,0.1340648148148148,0.10791223319489898,0.10799269864787693,3.731104110403264,3.7442290712992348,3.7189281372494163
7.0,0.14408333333333334,0.14408333333333334,0.1509843573200122,0.1509843573200122,0.14408333333333334,0.14408333333333334,0.14408333333333334,0.14408333333333334,0.11869590740728349,0.11869590740728349,0.13904166666666667,0.11272916771394248,0.1131017253417311,0.14310648148148147,0.11705028441573373,0.11717090861417905,3.682396052492426,3.702949270248413,3.669468912619132
8.0,0.1488,0.1488,0.15209111911990175,0.15209111911990175,0.1488,0.1488,0.1488,0.1488,0.12348894452276031,0.1234889445227603,0.14616666666666664,0.11929201891166967,0.11969091948398525,0.14961111111111108,0.12478731420216219,0.12490763571576982,3.648404952820311,3.6740695832570394,3.6344104022273314
9.0,0.15615,0.15615,0.17063649068255676,0.17063649068255682,0.15615,0.15615,0.15615,0.15615,0.13401570084818545,0.13401570084818545,0.15129166666666666,0.1273928893713488,0.1280017233492619,0.15808333333333333,0.1355675625838797,0.13562268927628005,3.596300378758856,3.6243760636647537,3.5820807299437347
